method,action,rows,mean_weight,weight_sum,rows_with_exogenous_loss_after
BC_UNIFORM,WAIT,4748,1.0,4748.0,0
BC_UNIFORM,ACQUIRE_A,2059,1.0,2059.0,0
BC_UNIFORM,ADVANCE_A,16363,1.0,16363.0,476
BC_UNIFORM,PLACE_A,2081,1.0,2081.0,0
BC_UNIFORM,START_RECOVERY_A,815,1.0,815.0,0
BC_UNIFORM,REGRASP_A,849,1.0,849.0,0
BC_UNIFORM,RELEASE_A,336,1.0,336.0,0
BC_UNIFORM,ACQUIRE_B,2230,1.0,2230.0,0
BC_UNIFORM,ADVANCE_B,16700,1.0,16700.0,724
BC_UNIFORM,PLACE_B,2141,1.0,2141.0,0
BC_UNIFORM,START_RECOVERY_B,1049,1.0,1049.0,0
BC_UNIFORM,REGRASP_B,1084,1.0,1084.0,0
BC_UNIFORM,RELEASE_B,337,1.0,337.0,0
SPARSE_TERMINAL,WAIT,4748,0.8691307306289673,4126.6328125,0
SPARSE_TERMINAL,ACQUIRE_A,2059,0.8691308498382568,1789.5404052734375,0
SPARSE_TERMINAL,ADVANCE_A,16363,0.8691308498382568,14221.587890625,476
SPARSE_TERMINAL,PLACE_A,2081,2.6015450954437256,5413.8154296875,0
SPARSE_TERMINAL,START_RECOVERY_A,815,0.8691307306289673,708.341552734375,0
SPARSE_TERMINAL,REGRASP_A,849,0.8691308498382568,737.89208984375,0
SPARSE_TERMINAL,RELEASE_A,336,0.9105179309844971,305.93402099609375,0
SPARSE_TERMINAL,ACQUIRE_B,2230,0.8691306710243225,1938.161376953125,0
SPARSE_TERMINAL,ADVANCE_B,16700,0.8691308498382568,14514.4853515625,724
SPARSE_TERMINAL,PLACE_B,2141,2.2737045288085938,4868.00146484375,0
SPARSE_TERMINAL,START_RECOVERY_B,1049,0.8691307306289673,911.7181396484375,0
SPARSE_TERMINAL,REGRASP_B,1084,0.8691307306289673,942.1376953125,0
SPARSE_TERMINAL,RELEASE_B,337,0.931027352809906,313.7562255859375,0
LINEAR_A_FIRST_R1,WAIT,4748,0.8718559145927429,4139.57177734375,0
LINEAR_A_FIRST_R1,ACQUIRE_A,2059,0.8718557953834534,1795.151123046875,0
LINEAR_A_FIRST_R1,ADVANCE_A,16363,0.8718557953834534,14266.1767578125,476
LINEAR_A_FIRST_R1,PLACE_A,2081,3.0174901485443115,6279.39697265625,0
LINEAR_A_FIRST_R1,START_RECOVERY_A,815,0.8718558549880981,710.5625,0
LINEAR_A_FIRST_R1,REGRASP_A,849,0.8718557953834534,740.20556640625,0
LINEAR_A_FIRST_R1,RELEASE_A,336,0.9272117614746094,311.54315185546875,0
LINEAR_A_FIRST_R1,ACQUIRE_B,2230,0.8718558549880981,1944.238525390625,0
LINEAR_A_FIRST_R1,ADVANCE_B,16700,0.8718557953834534,14559.9921875,724
LINEAR_A_FIRST_R1,PLACE_B,2141,1.8111745119094849,3877.724609375,0
LINEAR_A_FIRST_R1,START_RECOVERY_B,1049,0.8718558549880981,914.5767822265625,0
LINEAR_A_FIRST_R1,REGRASP_B,1084,0.8718558549880981,945.0917358398438,0
LINEAR_A_FIRST_R1,RELEASE_B,337,0.9132495522499084,307.7651062011719,0
