claim,mean,low,high,primary,status
V6_vs_BC_UNIFORM,-0.046875,-0.1234375,0.0265625,True,
V6_vs_VALID_COUNT_PLUS_MATCHED_EVENTS_V1,0.01171875,-0.03515625,0.06289306640625014,True,
policy_utility_evidence,,,,,UTILITY_NOT_ESTABLISHED_OR_MIXED
