candidate_id,miss_events,miss_correct,miss_families,miss_type_recall,loss_events,loss_correct,loss_families,loss_type_recall,physical_event_count,decidable_physical_event_count,undecidable_physical_event_count,wrong_or_unknown_rate,raw_rule_overlap_rollout_rate,effective_conflict_rollout_rate,event_window_conflict_rate,unjustified_definite_rate,mean_delay_observation_steps,delay_observation_steps_p95,mean_delay_seconds,delay_seconds_p95,detected_events,delay_opportunities,undetected_events,negative_opportunities,false_emergency,unjustified_definite
D_priority_only,8,8,2,1.0,16,8,4,0.5,24,24,8,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,0.3,0.6,16,24,8,8,8,8
C1_current_event_exclusion,8,8,2,1.0,16,8,4,0.5,24,24,8,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.5,1.0,0.3,0.6,16,24,8,8,8,8
C2_attempt_scoped_event_memory_h1_l1,8,8,2,1.0,16,16,4,1.0,24,24,8,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.3999999999999999,0.6,24,24,0,8,8,0
C2_attempt_scoped_event_memory_h1_l2,8,8,2,1.0,16,16,4,1.0,24,24,8,0.0,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,2.0,0.49999999999999994,0.7499999999999999,24,24,0,8,8,0
C2_attempt_scoped_event_memory_h2_l1,8,8,2,1.0,16,12,4,0.75,24,24,8,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6,1.0,0.35999999999999993,0.6,20,24,4,8,0,0
C2_attempt_scoped_event_memory_h2_l2,8,8,2,1.0,16,12,4,0.75,24,24,8,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,1.2,2.0,0.4499999999999999,0.7499999999999999,20,24,4,8,0,0
