path,source_role,size,sha256,sample_fields,read_error,eligibility
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/actions.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,535,cfcc2c15b50d87ef3f66b6fcd92f27c38d10f20ef89815a5d96cff7e08e5463e,action_index|action|start_time|end_time|gripper_command|contact_present|termination_reason,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/contact_sensor.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,150,bc77798bdabf15a9bde1d72c26705e1f7dc03eddf6b9b1223fa2f59b3894b1c0,frame_index|time|contact_present,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/events.jsonl,KNOWN_PILOT_ROOT_REPORTED_BY_V2,137,f498de4fdeb3b118fb91a973285de3988d752f5e690c3f12848bd03c7a06d396,event|observable_online|time,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/gripper_command.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,199,73b9fb91132a26654e73ed6a846279a01ae7483e1c308d5cb769dbf6d46165aa,frame_index|time|gripper_command,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/metadata.json,KNOWN_PILOT_ROOT_REPORTED_BY_V2,815,b9472863e33732e4f39224a5d0df9d2b1ec1662296d69c7120bbca17e90f9b43,SUMMARY_ONLY_NOT_STEP_STATE,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/online_observation.npz,KNOWN_PILOT_ROOT_REPORTED_BY_V2,911,7d8b9d011b149329feaa776ac2d4cb5751fb4eb0aa59112d187927134df2a3f1,timestamps.npy|action_code.npy|gripper_command_closed.npy|contact_present.npy,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/oracle_timeline.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,510,72278618b9b1a810603353903e98166183bb599887744fa49c5d87c6caba36ce,frame_index|time|goal_stable|weld_state|object_target_distance|ncon,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00/termination.json,KNOWN_PILOT_ROOT_REPORTED_BY_V2,166,5a107c92e2ce3f07288e3fc08c9c65c279cab9656bd2012224f18daf1aeef885,SUMMARY_ONLY_NOT_STEP_STATE,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_01/actions.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,535,cfcc2c15b50d87ef3f66b6fcd92f27c38d10f20ef89815a5d96cff7e08e5463e,action_index|action|start_time|end_time|gripper_command|contact_present|termination_reason,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_01/contact_sensor.csv,KNOWN_PILOT_ROOT_REPORTED_BY_V2,150,bc77798bdabf15a9bde1d72c26705e1f7dc03eddf6b9b1223fa2f59b3894b1c0,frame_index|time|contact_present,,REQUIRES_SCHEMA_AND_CAUSAL_REVIEW
