method,completed_updates,valid_transitions,train_success_episodes,step0_dev_success,final_dev_success,NaN_n,DP_nonzero_rate_conditioned,residual_nonzero_rate_conditioned,max_abs_residual,mask_error_n,verdict
B2,8,8192,1395,0.0,1.0,0,,,0,0,PASS
Full,8,8192,94,0.0,1.0,0,,,0,0,PASS
