logical_path	original_path	original_filename	size_bytes	sha256	artifact_type	purpose	recovery_method
scenes_source/F01/F01_A_view_1.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F01/F01_A_view_1.jpg	F01_A_view_1.jpg	17107	b981368a945aa6c28d0c235db01c94516b0d8948fe362df652670f62c707db60	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F01/F01_A_view_2.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F01/F01_A_view_2.jpg	F01_A_view_2.jpg	22020	c4577284aab79616b10ef30288330cfa3599765bea667e707c35b4a710288011	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F01/F01_B_view_1.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F01/F01_B_view_1.jpg	F01_B_view_1.jpg	18753	6e723d17e5e8bd740a993a519276e259d7e63d2ae27165bfdd8d341727cb6aff	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F01/F01_B_view_2.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F01/F01_B_view_2.jpg	F01_B_view_2.jpg	23575	7aab41ff3c72aaa061640dbd8281f88b87d649999d1afcab9104a317a3b861f5	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F02/F02_A_view_1.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F02/F02_A_view_1.jpg	F02_A_view_1.jpg	17226	4e76651d2810fc8ba1e80ba8603189849471b3a07653e09127dfce7ea24afba7	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F02/F02_A_view_2.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F02/F02_A_view_2.jpg	F02_A_view_2.jpg	21994	b256f0780b11923cabb6fc3be6eafd8aebb8261dd35a72c572267870d11bb059	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F02/F02_B_view_1.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F02/F02_B_view_1.jpg	F02_B_view_1.jpg	15637	b6c3f8d9838a1c037f0ca35ecd260228ba551e963cd2cc0975f082a60ca0b981	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F02/F02_B_view_2.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F02/F02_B_view_2.jpg	F02_B_view_2.jpg	20125	03c6b9e6293893e166ec0aafa0187cc5ed0c1b295fb1058ed30fb0655ba1314f	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F03/F03_A_view_1.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F03/F03_A_view_1.jpg	F03_A_view_1.jpg	17316	6c070015ec065a10f0d2285e1a97299476e1f74da191027a185f1edf9dde132f	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
scenes_source/F03/F03_A_view_2.jpg	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/scenes_source/F03/F03_A_view_2.jpg	F03_A_view_2.jpg	21794	7f61d9cbd0c37bf36eb9ccd8613e891b1fa3d780a0c48ab86966280d236e2a00	original_simulator_rgb	pre-normalization MuJoCo scene input	rerun the committed renderer and capture plan or restore the exact local path
