from_cluster,to_cluster,count
3,5,298
5,4,249
4,9,91
9,9,44
9,2,293
4,7,202
7,9,202
3,8,142
8,5,46
8,4,31
5,5,77
10,5,52
10,3,29
3,4,13
3,1,172
1,6,282
6,2,292
6,6,86
8,1,77
1,1,85
8,0,15
0,0,188
1,8,24
8,6,9
5,1,15
10,1,39
6,1,3
4,4,2
3,6,4
5,8,12
