candidate_id,events,families,positive_events,positive_correct,positive_recall,miss_recall,loss_recall,wrong_or_unknown_rate,conflict_rate,negative_false_emergency_rate,hold_evidence_rate,paired_sampling,data_role
B_count1,64,16,40,32,0.8,0.0,1.0,0.2,0.0,0.375,0.8,True,new_dynamic_mujoco_r1
B_count2,64,16,40,32,0.8,0.0,1.0,0.2,0.0,0.25,0.8,True,new_dynamic_mujoco_r1
C3_vector_rho035,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
C3_vector_rho055,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
C4_time010_disp004,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
C4_time010_disp008,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
C4_time020_disp004,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
C4_time020_disp008,64,16,40,16,0.4,0.0,0.5,0.6,0.0,0.125,0.8,True,new_dynamic_mujoco_r1
