rollout_id,case_id,reason
L2RAR2_FIT_03_810003:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_FIT_03_810003:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_FIT_03_810003:K5_brief_hold_loss,K5_brief_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_FIT_03_810003:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
