estimand_id,estimand_kind,point_estimate,ci95_low,ci95_high,tail_probability,bootstrap_resamples_completed,content_groups,statistics_unit,support_note
path_consistency,primary,0.0,0.0,0.0,1.0,10000,1,content_group_id,limited_controlled_support
failure_sign,primary,1.0,1.0,1.0,9.999000099990002e-05,10000,7,content_group_id,group_bootstrap
recovery_sign,primary,0.75,0.75,0.75,9.999000099990002e-05,10000,4,content_group_id,group_bootstrap
loop_safety,primary,1.0,1.0,1.0,9.999000099990002e-05,10000,1,content_group_id,limited_controlled_support
success_separation,primary,0.2652299461265408,0.15128552969545117,0.37963411597948943,9.999000099990002e-05,10000,13,content_group_id,group_bootstrap
alternative_A_collapse,structural_contrast,1.5,0.0,3.0,0.2506,10000,2,content_group_id,limited_controlled_support
alternative_B_collapse,structural_contrast,1.5,0.0,3.0,0.2499,10000,2,content_group_id,limited_controlled_support
remove_recovery,structural_contrast,0.16041666666666665,0.1125,0.21875,9.999000099990002e-05,10000,8,content_group_id,group_bootstrap
remove_debt_cap,structural_contrast,-0.625,-0.625,-0.625,9.999000099990002e-05,10000,8,content_group_id,group_bootstrap
remove_phi,structural_contrast,0.0,0.0,0.0,1.0,10000,13,content_group_id,group_bootstrap
