variant_id,alternative_support_delta,recovery_support_delta,debt_cap_overshoot_delta,within_node_density_delta,provenance
full_locked,0.0,0.0,0.0,0.0,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
collapse_alternative_to_A_first,3.0,0.0,0.0,0.0,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
collapse_alternative_to_B_first,3.0,0.0,0.0,0.0,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
remove_recovery_edge,0.0,0.5,0.0,0.0,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
no_recovery_debt_cap,0.0,-0.5,1.0,0.0054421768707483276,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
no_phi,0.0,0.0,0.0,0.0,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
cost_only,0.0,-0.5,1.0,0.0054421768707483276,stage8_recomputed_real_test_plus_frozen_controlled_symbolic_stress
