boundary_source,events,failure_negative_rate,recovery_positive_rate,root_family_id,segments
gold,12,,,u2_family_102,24
gold,24,0.0,0.625,u2_family_103,36
gold,30,0.0,0.9166666666666666,u2_family_104,42
gold,12,,,u2_family_105,24
gold,6,1.0,,u2_family_106,18
gold,12,,,u2_family_107,30
gold,12,,,u2_family_108,30
gold,16,0.3333333333333333,0.3333333333333333,u2_family_109,35
gold,30,0.0,0.5833333333333334,u2_family_110,42
gold,12,,,u2_family_111,30
gold,6,1.0,,u2_family_112,18
gold,12,,,u2_family_113,35
gold,12,,,u2_family_114,24
gold,17,0.2,1.0,u2_family_115,31
gold,30,0.0,0.9166666666666666,u2_family_116,42
gold,12,,,u2_family_117,24
gold,6,1.0,,u2_family_118,18
gold,12,,,u2_family_119,28
best_causal,12,,,u2_family_102,56
best_causal,24,0.0,0.625,u2_family_103,72
best_causal,30,0.0,0.9166666666666666,u2_family_104,77
best_causal,12,,,u2_family_105,62
best_causal,6,0.0,,u2_family_106,42
best_causal,12,,,u2_family_107,78
best_causal,12,,,u2_family_108,64
best_causal,16,0.0,0.3333333333333333,u2_family_109,100
best_causal,30,0.0,0.5833333333333334,u2_family_110,88
best_causal,12,,,u2_family_111,60
best_causal,6,1.0,,u2_family_112,21
best_causal,12,,,u2_family_113,72
best_causal,12,,,u2_family_114,57
best_causal,17,0.2,1.0,u2_family_115,131
best_causal,30,0.0,0.9166666666666666,u2_family_116,75
best_causal,12,,,u2_family_117,61
best_causal,6,0.0,,u2_family_118,43
best_causal,12,,,u2_family_119,70
best_rule,8,,,u2_family_102,49
best_rule,19,0.0,1.0,u2_family_103,53
best_rule,14,0.0,1.0,u2_family_104,55
best_rule,10,,,u2_family_105,52
best_rule,6,0.0,,u2_family_106,18
best_rule,10,,,u2_family_107,52
best_rule,10,,,u2_family_108,49
best_rule,13,0.0,1.0,u2_family_109,53
best_rule,22,0.0,1.0,u2_family_110,49
best_rule,9,,,u2_family_111,45
best_rule,6,0.0,,u2_family_112,18
best_rule,12,,,u2_family_113,49
best_rule,11,,,u2_family_114,51
best_rule,13,0.0,1.0,u2_family_115,56
best_rule,16,0.0,1.0,u2_family_116,55
best_rule,9,,,u2_family_117,49
best_rule,6,0.0,,u2_family_118,18
best_rule,11,,,u2_family_119,53
uniform,8,,,u2_family_102,49
uniform,19,0.0,1.0,u2_family_103,53
uniform,14,0.0,1.0,u2_family_104,55
uniform,10,,,u2_family_105,52
uniform,6,0.0,,u2_family_106,18
uniform,11,,,u2_family_107,69
uniform,11,,,u2_family_108,57
uniform,11,0.0,1.0,u2_family_109,61
uniform,22,0.0,1.0,u2_family_110,60
uniform,10,,,u2_family_111,54
uniform,6,0.0,,u2_family_112,18
uniform,11,,,u2_family_113,69
uniform,10,,,u2_family_114,50
uniform,13,0.2,1.0,u2_family_115,67
uniform,16,0.0,1.0,u2_family_116,55
uniform,8,,,u2_family_117,48
uniform,6,0.0,,u2_family_118,18
uniform,11,,,u2_family_119,66
best_budget,12,,,u2_family_102,119
best_budget,24,0.0,0.625,u2_family_103,102
best_budget,30,0.0,0.9166666666666666,u2_family_104,125
best_budget,12,,,u2_family_105,123
best_budget,6,0.0,,u2_family_106,39
best_budget,12,,,u2_family_107,115
best_budget,12,,,u2_family_108,93
best_budget,16,0.0,0.3333333333333333,u2_family_109,118
best_budget,30,0.0,0.5833333333333334,u2_family_110,97
best_budget,12,,,u2_family_111,86
best_budget,6,0.0,,u2_family_112,30
best_budget,12,,,u2_family_113,97
best_budget,12,,,u2_family_114,122
best_budget,17,0.2,1.0,u2_family_115,165
best_budget,30,0.0,0.9166666666666666,u2_family_116,114
best_budget,12,,,u2_family_117,114
best_budget,6,0.0,,u2_family_118,41
best_budget,12,,,u2_family_119,125
