alternative_denominator,alternative_f1,alternative_precision,alternative_recall,ambiguous_guard_rate,censored_occurrence_count,dwell_denominator,dwell_f1,dwell_precision,dwell_recall,failure_event_denominator,failure_event_f1,failure_event_precision,failure_event_recall,failure_terminal_denominator,failure_terminal_f1,failure_terminal_precision,failure_terminal_predicted_count,failure_terminal_recall,false_terminal_claim_denominator,false_terminal_claim_rate,graph_id,guard_ambiguous_count,mixed_pair_occurrence_rate,occurrence_count,progress_denominator,progress_f1,progress_precision,progress_recall,recovery_achieved_denominator,recovery_achieved_f1,recovery_achieved_precision,recovery_achieved_recall,recovery_attempt_denominator,recovery_attempt_f1,recovery_attempt_precision,recovery_attempt_recall,root_family_id,scenario_for_analysis_only,terminal_abstention_rate,terminal_actual_count,terminal_claim_count,terminal_claim_coverage,terminal_failure_denominator,terminal_failure_f1,terminal_failure_precision,terminal_failure_recall,terminal_success_denominator,terminal_success_f1,terminal_success_precision,terminal_success_recall,transition_coverage,typed_occurrence_coverage,unknown_rate
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,37,8,0.6666666666666666,1.0,0.5,0,,,,0,,,,u4r1_confirm_030,nominal_success,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.10810810810810811,0.8918918918918919
0,,,,0.0,0,0,,,,1,,,0.0,0,,0.0,1,,1,1.0,G1_single_label_v2,0,0.0,44,8,0.6666666666666666,1.0,0.5,1,,0.0,0.0,1,,,0.0,u4r1_confirm_031,grazing_contact,0.9772727272727273,4,1,0.022727272727272728,0,,,,4,,,0.0,1.0,0.11363636363636363,0.8863636363636364
0,,,,0.0,0,0,,,,4,,,0.0,0,,,0,,0,,G1_single_label_v2,0,0.0,43,8,0.6666666666666666,1.0,0.5,4,,,0.0,4,,,0.0,u4r1_confirm_032,slip_recovery,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.09302325581395349,0.9069767441860465
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,36,8,0.6666666666666666,1.0,0.5,0,,,,0,,,,u4r1_confirm_033,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.1111111111111111,0.8888888888888888
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G1_single_label_v2,0,0.0,30,4,,,0.0,0,,,,0,,,,u4r1_confirm_034,terminal_collision,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,40,8,0.6666666666666666,1.0,0.5,0,,0.0,,0,,,,u4r1_confirm_035,stagnation,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.15,0.85
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G3_guard_rule_multigraph,0,0.0,43,8,,,0.0,0,,,,0,,,,u4r1_confirm_000,nominal_success,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,1,,,0.0,1,,,0.0,0,,,0,,0,,G3_guard_rule_multigraph,0,0.0,60,7,,,0.0,0,,,,1,,,0.0,u4r1_confirm_001,grazing_contact,1.0,3,0,0.0,0,,,,3,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,4,,,0.0,0,,,0,,0,,G3_guard_rule_multigraph,0,0.0,61,8,,,0.0,4,,,0.0,4,,,0.0,u4r1_confirm_002,slip_recovery,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G3_guard_rule_multigraph,0,0.0,43,8,,,0.0,0,,,,0,,,,u4r1_confirm_003,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
