episode_id,method,signed_return,positive_weight_sum,weight_ess,all_weights_zero,training_run,harm_to_policy_established
entry_return_geometry_assumed__p0.0__k1,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k1,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k1,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k1,GRAPH_COST_ONLY,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.0__k1,GRAPH_COST_PHI,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.0__k1,GRAPH_COST_DEBT,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.0__k1,FULL_FROZEN,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.0__k1,NO_RECOVERY_CREDIT,-0.3333333333333333,0.16666666666666669,1.0,False,False,False
entry_return_geometry_assumed__p0.0__k3,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k3,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k3,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k3,GRAPH_COST_ONLY,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.0__k3,GRAPH_COST_PHI,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.0__k3,GRAPH_COST_DEBT,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.0__k3,FULL_FROZEN,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.0__k3,NO_RECOVERY_CREDIT,-0.9999999999999998,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.0__k8,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k8,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k8,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.0__k8,GRAPH_COST_ONLY,4.440892098500626e-16,4.0,23.999999999999993,False,False,False
entry_return_geometry_assumed__p0.0__k8,GRAPH_COST_PHI,4.440892098500626e-16,4.0,23.999999999999993,False,False,False
entry_return_geometry_assumed__p0.0__k8,GRAPH_COST_DEBT,4.440892098500626e-16,4.0,23.999999999999993,False,False,False
entry_return_geometry_assumed__p0.0__k8,FULL_FROZEN,4.440892098500626e-16,4.0,23.999999999999993,False,False,False
entry_return_geometry_assumed__p0.0__k8,NO_RECOVERY_CREDIT,-2.666666666666666,1.3333333333333337,8.000000000000002,False,False,False
entry_return_geometry_assumed__p0.4__k1,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k1,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k1,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k1,GRAPH_COST_ONLY,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.4__k1,GRAPH_COST_PHI,0.20000000000000007,0.7000000000000002,3.9729729729729746,False,False,False
entry_return_geometry_assumed__p0.4__k1,GRAPH_COST_DEBT,5.551115123125783e-17,0.5,2.9999999999999996,False,False,False
entry_return_geometry_assumed__p0.4__k1,FULL_FROZEN,0.20000000000000007,0.7000000000000002,3.9729729729729746,False,False,False
entry_return_geometry_assumed__p0.4__k1,NO_RECOVERY_CREDIT,-0.1333333333333333,0.3666666666666667,1.9836065573770492,False,False,False
entry_return_geometry_assumed__p0.4__k3,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k3,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k3,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k3,GRAPH_COST_ONLY,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.4__k3,GRAPH_COST_PHI,0.6000000000000001,2.1,11.918918918918916,False,False,False
entry_return_geometry_assumed__p0.4__k3,GRAPH_COST_DEBT,1.6653345369377348e-16,1.5000000000000002,9.000000000000002,False,False,False
entry_return_geometry_assumed__p0.4__k3,FULL_FROZEN,0.6000000000000001,2.1,11.918918918918916,False,False,False
entry_return_geometry_assumed__p0.4__k3,NO_RECOVERY_CREDIT,-0.39999999999999997,1.1,5.950819672131146,False,False,False
entry_return_geometry_assumed__p0.4__k8,SPARSE_TERMINAL,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k8,LINEAR_FIXED_ORDER,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k8,UNORDERED_COMPLETION_PROGRESS,0.0,0.0,0.0,True,False,False
entry_return_geometry_assumed__p0.4__k8,GRAPH_COST_ONLY,4.440892098500626e-16,4.0,23.999999999999993,False,False,False
entry_return_geometry_assumed__p0.4__k8,GRAPH_COST_PHI,1.6000000000000003,5.600000000000003,31.783783783783804,False,False,False
