rollout_id,status,rows,missing_frames,errors,output_sha256
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,PASS,61,0,0,5a67a2f7a206158cce0b32f3fc20c318be83f38ed79294fc3226976758a1141e
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,68c382192b3ccef6d10f71a54e07c67d2e9f68275a29abd8288c54b8c5e2ba4c
L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,PASS,67,0,0,be151bed4cfa409ebfab663e717e92fab29d44f6cb1bcecf2b1f37bd313f1e99
L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,PASS,56,0,0,39c05828e9dee4b9f922e9e80c9507cec505e1a405729aa61a5e24f5ad34751a
L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,PASS,56,0,0,0a302e6916769a2a83fc46b10a882a48a359f18ee3b9cd6fd69aecdfd8450027
L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,39c05828e9dee4b9f922e9e80c9507cec505e1a405729aa61a5e24f5ad34751a
L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,39c05828e9dee4b9f922e9e80c9507cec505e1a405729aa61a5e24f5ad34751a
L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,PASS,61,0,0,d6f3865ebf1d6e13f39288517048c682db8706655b809f9e580a3e568dfa9b83
L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,PASS,61,0,0,cb651b1fa40172bf9ba138189a7141812be0a8cbfca6eb645f970b06f4dbe7c6
L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,PASS,61,0,0,8bdebb4f26b07802c296d21ccbc6ad04275698c186df223245642956c18ed66a
L2RAR2_R19_CONF_00_886000__T8_transport_strong_phase_10ms,PASS,61,0,0,d616798bd785e93110b17fcfab0167100f682298ed2f69084fed636804528e27
L2RAR2_R19_CONF_00_886000__T9_transport_strong_phase_20ms,PASS,61,0,0,a6168b975313b05ead393cd23d1ba4d494986cca0943bff89c12ede340825842
L2RAR2_R19_CONF_01_886001__T10_transport_strong_phase_30ms,PASS,61,0,0,ee4f2fd31749a9c27d9151d225c735665fdb4a21e1625e753cb884182fa35bc9
L2RAR2_R19_CONF_01_886001__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,c6f74adb950a5d83b8b1fd3fdba15b72325e7d52c789292ba3b4fda9e964410f
L2RAR2_R19_CONF_01_886001__T12_transport_commanded_release,PASS,67,0,0,d58a95c0cff91254bd7e9c22d3154b730d3ff169250ee96b466d86ca686866ae
L2RAR2_R19_CONF_01_886001__T1_transport_stable_clean,PASS,56,0,0,37815ab31d78d9499fe5e635dfcafb65b9bd6c12cc582b714b7d7ed54df0468f
L2RAR2_R19_CONF_01_886001__T2_transport_camera_jitter,PASS,56,0,0,ec4f4c7353ada00bb30d8a8e1c6cf9c3688c6457f0a1bcabce72fa67afc8f2a9
L2RAR2_R19_CONF_01_886001__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,37815ab31d78d9499fe5e635dfcafb65b9bd6c12cc582b714b7d7ed54df0468f
L2RAR2_R19_CONF_01_886001__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,37815ab31d78d9499fe5e635dfcafb65b9bd6c12cc582b714b7d7ed54df0468f
L2RAR2_R19_CONF_01_886001__T5_transport_weak_outcome,PASS,61,0,0,fe76caff9aec5faec3b2b2547403833b280e214330e9fc00d5c50f4af1b05f16
L2RAR2_R19_CONF_01_886001__T6_transport_medium_outcome,PASS,61,0,0,dc828ad549675f0d2166c639724d5f19bac274349b56cccbeb75b8e740e8146b
L2RAR2_R19_CONF_01_886001__T7_transport_strong_phase_00ms,PASS,61,0,0,6c21d142f7864c424e20f9d0a76435aad7edbda4379d187787da89c94f40f552
L2RAR2_R19_CONF_01_886001__T8_transport_strong_phase_10ms,PASS,61,0,0,6ec27075eae3e081170884161aa090d6c50967e85184b310a81abd8f105092f0
L2RAR2_R19_CONF_01_886001__T9_transport_strong_phase_20ms,PASS,61,0,0,c7ea1762c7927c565ac0c47b73c073902f227e4e4af48eaa2e37310970949299
L2RAR2_R19_CONF_02_886002__T10_transport_strong_phase_30ms,PASS,61,0,0,ee88cbeffdb26dc28bb4fb561b2594892aa1e95eb79609c7eb2211e8ab8d1da4
L2RAR2_R19_CONF_02_886002__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,30f4bf24c318ee70390c78b0c4b56b738d073b11f7c301e1ae9fc4031389a216
L2RAR2_R19_CONF_02_886002__T12_transport_commanded_release,PASS,67,0,0,5a8bc5ab507def8dab66ebd9ca66568212b2ceb41913753913e3b0fee1476801
L2RAR2_R19_CONF_02_886002__T1_transport_stable_clean,PASS,56,0,0,72644760d565a574b6db7c0ded48cfb6ff85a2af1287a07d44e92aa1a91437a6
L2RAR2_R19_CONF_02_886002__T2_transport_camera_jitter,PASS,56,0,0,8913ca80741f40f3f70f048c7bf80b9e06d58879944963d6f2d10fb0f3d5d30f
L2RAR2_R19_CONF_02_886002__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,72644760d565a574b6db7c0ded48cfb6ff85a2af1287a07d44e92aa1a91437a6
L2RAR2_R19_CONF_02_886002__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,72644760d565a574b6db7c0ded48cfb6ff85a2af1287a07d44e92aa1a91437a6
L2RAR2_R19_CONF_02_886002__T5_transport_weak_outcome,PASS,61,0,0,3291d0103f691d5e134490a00e50f75d447d147d8c2ba13aa68021942e725500
L2RAR2_R19_CONF_02_886002__T6_transport_medium_outcome,PASS,61,0,0,b95954d55578a9fb9fba1107733b2d28381f83d27cf49b2d0c803c881f735cbe
L2RAR2_R19_CONF_02_886002__T7_transport_strong_phase_00ms,PASS,61,0,0,0656309f1b235ea7ddb858307a5b4da8ebe3e905bf583a635def86a9d4cd5a55
L2RAR2_R19_CONF_02_886002__T8_transport_strong_phase_10ms,PASS,61,0,0,915d6f53c93727b22a5f684ee8de4e743cb1be815e51d446b4cd1377e06bf222
L2RAR2_R19_CONF_02_886002__T9_transport_strong_phase_20ms,PASS,61,0,0,ea2d9f2eb3982bcb5cd0b7316b69c1944ffe4c90747828b72e0765fed8eae8f0
L2RAR2_R19_CONF_03_886003__T10_transport_strong_phase_30ms,PASS,61,0,0,2499439d1111312a762a155a0844722ba192af9892abddd389dbd0a46501ee48
L2RAR2_R19_CONF_03_886003__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,828d630c0bb7410dce0a69836fd56d71d050dd2105fb9985f47d062cdc5c971f
L2RAR2_R19_CONF_03_886003__T12_transport_commanded_release,PASS,67,0,0,ba8714246c21566c43d0e610c9f93df09280c225554b533a468600de8bf53203
L2RAR2_R19_CONF_03_886003__T1_transport_stable_clean,PASS,56,0,0,277dabc1a5ce7cdd1d0cd02b49a761a08245c64a8be1373741ea8b6e85988d88
L2RAR2_R19_CONF_03_886003__T2_transport_camera_jitter,PASS,56,0,0,6ebac792d906ddb03e634389b6486abcf1a96fd11b9c8d5238e461a5c50e0efa
L2RAR2_R19_CONF_03_886003__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,277dabc1a5ce7cdd1d0cd02b49a761a08245c64a8be1373741ea8b6e85988d88
L2RAR2_R19_CONF_03_886003__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,277dabc1a5ce7cdd1d0cd02b49a761a08245c64a8be1373741ea8b6e85988d88
L2RAR2_R19_CONF_03_886003__T5_transport_weak_outcome,PASS,61,0,0,d4345b1e09591e12c37cc0565d1bf80f068900a2a2bc78c9f6108a41968dcfe9
L2RAR2_R19_CONF_03_886003__T6_transport_medium_outcome,PASS,61,0,0,5bbce92ef77726979dedabdb33771be2ba3bf82064469d4a9895c0d1016fd355
L2RAR2_R19_CONF_03_886003__T7_transport_strong_phase_00ms,PASS,61,0,0,70780e11712f1ba2905e3d918d1d71d416d7e57a7dfdf197ad73ed15f681a5d5
L2RAR2_R19_CONF_03_886003__T8_transport_strong_phase_10ms,PASS,61,0,0,14d990a20012a012226f2b052581b16ecb8b07bc1ff4a1a0cfd3f5591f3ddc6d
L2RAR2_R19_CONF_03_886003__T9_transport_strong_phase_20ms,PASS,61,0,0,66177d51f3ca5f2906d12a28774ee44017ac225752b93fad0caa8c55e2e5697b
L2RAR2_R19_CONF_04_886004__T10_transport_strong_phase_30ms,PASS,61,0,0,22e986e0ff24212a91c4f722f8241aaf523909857b684b60af6b99ba652ed252
L2RAR2_R19_CONF_04_886004__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,d2075abfdc169a049a6b0149d6de9620cb5be60f4e13ae39b7ac76ed13693c45
L2RAR2_R19_CONF_04_886004__T12_transport_commanded_release,PASS,67,0,0,b8db1215ab2f326d102414137326069b09cccbe4262afd3ee66ce2b2a0970fa1
L2RAR2_R19_CONF_04_886004__T1_transport_stable_clean,PASS,56,0,0,53a6013acb66293ae58d0b3f1f51c9b731449130e2e2d9b0f3156c724bec674b
L2RAR2_R19_CONF_04_886004__T2_transport_camera_jitter,PASS,56,0,0,5bb27cc87a6d2b03ea040358c99831b2b2ed70b000875d8a29f7c0146c79a9c4
L2RAR2_R19_CONF_04_886004__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,53a6013acb66293ae58d0b3f1f51c9b731449130e2e2d9b0f3156c724bec674b
L2RAR2_R19_CONF_04_886004__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,53a6013acb66293ae58d0b3f1f51c9b731449130e2e2d9b0f3156c724bec674b
L2RAR2_R19_CONF_04_886004__T5_transport_weak_outcome,PASS,61,0,0,769df139eab119d232a04a2049a2e416ef7816d4585e6b8a611f00a4e3d04a72
L2RAR2_R19_CONF_04_886004__T6_transport_medium_outcome,PASS,61,0,0,29cef7dda802867e426c032caf0dd34cef22604dc74d107714ee1846ccebd501
L2RAR2_R19_CONF_04_886004__T7_transport_strong_phase_00ms,PASS,61,0,0,41c054591b812ac984478377a2717648a9c70a78927bcdd9d8e6a8cef6bd1bd2
L2RAR2_R19_CONF_04_886004__T8_transport_strong_phase_10ms,PASS,61,0,0,2acc0e4b25883205ca1bb44530790d86893dd6b4f50d69765c2b96fa3b00b3d4
L2RAR2_R19_CONF_04_886004__T9_transport_strong_phase_20ms,PASS,61,0,0,b1e4e0fffb3cc9400c26917e80d30c9925aa50ce554c80cf341707b885621eb0
L2RAR2_R19_CONF_05_886005__T10_transport_strong_phase_30ms,PASS,61,0,0,d70a7a3c99cf042041393fb517e9180499b357a20d6577b8f0817d1c36dd1525
L2RAR2_R19_CONF_05_886005__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,ae8eab972fe295a7b6032ea84c1fd0a14f739ed00ee74e47bf11600f9a91fe32
L2RAR2_R19_CONF_05_886005__T12_transport_commanded_release,PASS,67,0,0,cbb8d1a67541d9cb91a19db5129990703d8a8b30d135a90003058b3717274671
L2RAR2_R19_CONF_05_886005__T1_transport_stable_clean,PASS,56,0,0,279659d7226a48103a1f4b4776e63fd6106a54dff01b76122ae048e0312c96c7
L2RAR2_R19_CONF_05_886005__T2_transport_camera_jitter,PASS,56,0,0,74e8e8dfe2a18d60e4dba70bc82b5e7ed9c914324dc74f53ec2d1d32be57d305
L2RAR2_R19_CONF_05_886005__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,279659d7226a48103a1f4b4776e63fd6106a54dff01b76122ae048e0312c96c7
L2RAR2_R19_CONF_05_886005__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,279659d7226a48103a1f4b4776e63fd6106a54dff01b76122ae048e0312c96c7
L2RAR2_R19_CONF_05_886005__T5_transport_weak_outcome,PASS,61,0,0,49f69b6cd89b4dea93f47fdc2fb5e3c446d59d875dfcbf9ae7adef4069b02faa
L2RAR2_R19_CONF_05_886005__T6_transport_medium_outcome,PASS,61,0,0,919d5f27cb96470a7a618f363e527d778cc3001cf01fee7d234a568e4bd36d76
L2RAR2_R19_CONF_05_886005__T7_transport_strong_phase_00ms,PASS,61,0,0,25f3d9382f349ef5223f3f9383059314022cc8e8c34facbfe76cd14cbde4c322
L2RAR2_R19_CONF_05_886005__T8_transport_strong_phase_10ms,PASS,61,0,0,314199e1407ad39134e5f633047dde76762b30724ce240f3f4da57b31417ad09
L2RAR2_R19_CONF_05_886005__T9_transport_strong_phase_20ms,PASS,61,0,0,58fad54917e02224d3bc849602de18defce4790fa8b33704f77326473c5e974b
