rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action,resolvable,commanded_release,force_start_time,phase_grid_time,requested_phase_offset_ms,actual_phase_offset_ms
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_00_886000,886000,88700009,T10_transport_strong_phase_30ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.330000000000001,1.300000000000001,30,30.00000000000003
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_00_886000,886000,88700010,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036
L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,L2RAR2_R19_CONF_00_886000,886000,88700011,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,L2RAR2_R19_CONF_00_886000,886000,88700000,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,L2RAR2_R19_CONF_00_886000,886000,88700001,T2_transport_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,L2RAR2_R19_CONF_00_886000,886000,88700002,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,L2RAR2_R19_CONF_00_886000,886000,88700003,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,L2RAR2_R19_CONF_00_886000,886000,88700004,T5_transport_weak_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,L2RAR2_R19_CONF_00_886000,886000,88700005,T6_transport_medium_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,L2RAR2_R19_CONF_00_886000,886000,88700006,T7_transport_strong_phase_00ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.300000000000001,0,0.0
L2RAR2_R19_CONF_00_886000__T8_transport_strong_phase_10ms,L2RAR2_R19_CONF_00_886000,886000,88700007,T8_transport_strong_phase_10ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.310000000000001,1.300000000000001,10,10.000000000000009
L2RAR2_R19_CONF_00_886000__T9_transport_strong_phase_20ms,L2RAR2_R19_CONF_00_886000,886000,88700008,T9_transport_strong_phase_20ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_01_886001__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_01_886001,886001,88700109,T10_transport_strong_phase_30ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.330000000000001,1.300000000000001,30,30.00000000000003
L2RAR2_R19_CONF_01_886001__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_01_886001,886001,88700110,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036
L2RAR2_R19_CONF_01_886001__T12_transport_commanded_release,L2RAR2_R19_CONF_01_886001,886001,88700111,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_01_886001__T1_transport_stable_clean,L2RAR2_R19_CONF_01_886001,886001,88700100,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_01_886001__T2_transport_camera_jitter,L2RAR2_R19_CONF_01_886001,886001,88700101,T2_transport_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_01_886001__T3_transport_single_contact_proxy_dropout,L2RAR2_R19_CONF_01_886001,886001,88700102,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_01_886001__T4_transport_same_time_contact_false_then_true,L2RAR2_R19_CONF_01_886001,886001,88700103,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_01_886001__T5_transport_weak_outcome,L2RAR2_R19_CONF_01_886001,886001,88700104,T5_transport_weak_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_01_886001__T6_transport_medium_outcome,L2RAR2_R19_CONF_01_886001,886001,88700105,T6_transport_medium_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_01_886001__T7_transport_strong_phase_00ms,L2RAR2_R19_CONF_01_886001,886001,88700106,T7_transport_strong_phase_00ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.300000000000001,0,0.0
L2RAR2_R19_CONF_01_886001__T8_transport_strong_phase_10ms,L2RAR2_R19_CONF_01_886001,886001,88700107,T8_transport_strong_phase_10ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.310000000000001,1.300000000000001,10,10.000000000000009
L2RAR2_R19_CONF_01_886001__T9_transport_strong_phase_20ms,L2RAR2_R19_CONF_01_886001,886001,88700108,T9_transport_strong_phase_20ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_02_886002__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_02_886002,886002,88700209,T10_transport_strong_phase_30ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.330000000000001,1.300000000000001,30,30.00000000000003
L2RAR2_R19_CONF_02_886002__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_02_886002,886002,88700210,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036
L2RAR2_R19_CONF_02_886002__T12_transport_commanded_release,L2RAR2_R19_CONF_02_886002,886002,88700211,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_02_886002__T1_transport_stable_clean,L2RAR2_R19_CONF_02_886002,886002,88700200,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_02_886002__T2_transport_camera_jitter,L2RAR2_R19_CONF_02_886002,886002,88700201,T2_transport_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_02_886002__T3_transport_single_contact_proxy_dropout,L2RAR2_R19_CONF_02_886002,886002,88700202,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_02_886002__T4_transport_same_time_contact_false_then_true,L2RAR2_R19_CONF_02_886002,886002,88700203,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,
L2RAR2_R19_CONF_02_886002__T5_transport_weak_outcome,L2RAR2_R19_CONF_02_886002,886002,88700204,T5_transport_weak_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
L2RAR2_R19_CONF_02_886002__T6_transport_medium_outcome,L2RAR2_R19_CONF_02_886002,886002,88700205,T6_transport_medium_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018
