rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action,resolvable,commanded_release,force_start_time,phase_grid_time,requested_phase_offset_ms,actual_phase_offset_ms,loss_onset_time_abs,loss_confirmed_time_abs,peak_relative_separation_m,reference_path,physics_trace_path,candidate_input_path
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_00_886000,886000,88700009,T10_transport_strong_phase_30ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.330000000000001,1.300000000000001,30,30.00000000000003,1.6000000000000012,1.7300000000000013,0.41358354080449145,../../../confirmation/L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms/candidate_input
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_00_886000,886000,88700010,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036,1.6100000000000012,1.7400000000000013,0.44900905132991753,../../../confirmation/L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout/candidate_input
L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,L2RAR2_R19_CONF_00_886000,886000,88700011,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018,,,0.3658553455503875,../../../confirmation/L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release/candidate_input
L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,L2RAR2_R19_CONF_00_886000,886000,88700000,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013965809765261112,../../../confirmation/L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean/candidate_input
L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,L2RAR2_R19_CONF_00_886000,886000,88700001,T2_transport_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013965809765261112,../../../confirmation/L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter/candidate_input
L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,L2RAR2_R19_CONF_00_886000,886000,88700002,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013965809765261112,../../../confirmation/L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout/candidate_input
L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,L2RAR2_R19_CONF_00_886000,886000,88700003,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.013965809765261112,../../../confirmation/L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true/candidate_input
L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,L2RAR2_R19_CONF_00_886000,886000,88700004,T5_transport_weak_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018,1.5800000000000012,1.6900000000000013,0.475059976584432,../../../confirmation/L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome/candidate_input
L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,L2RAR2_R19_CONF_00_886000,886000,88700005,T6_transport_medium_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.320000000000001,1.300000000000001,20,20.000000000000018,1.5900000000000012,1.7000000000000013,0.35751273870213857,../../../confirmation/L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome/candidate_input
L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,L2RAR2_R19_CONF_00_886000,886000,88700006,T7_transport_strong_phase_00ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.300000000000001,0,0.0,1.5200000000000011,1.6800000000000013,0.35898952047483773,../../../confirmation/L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms/reference/physical_reference.json,../../../confirmation/L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms/candidate_input
