rollout_id,case_id,fault_type,target_capture_order,source_capture_order,source_contact,injected_contact,source_time,next_later_source_time,duplicate_capture_order,same_jpeg_sha256,reference_unchanged
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,5b20335819b3b1c87318415f7005319249e1c26a1cfe3e41de5ef4c9c24b6eb8,True
L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_00_886000__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_01_886001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,c10f9a08882bc8d26a9cf14c716d040f004146312cff905025dacd3997d34d43,True
L2RAR2_R19_CONF_01_886001__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_01_886001__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_02_886002__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,dc0152e1b5fc9a42239a6cf6f0c244909caab09d33a2eb7c85cddce886ebf119,True
L2RAR2_R19_CONF_02_886002__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_02_886002__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_03_886003__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,ef901274323d5714314fffdbb43c7782c39901970f227f06c7ed47ae527bcccf,True
L2RAR2_R19_CONF_03_886003__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_03_886003__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
