rollout_id,source_capture_order,candidate_capture_order,time,synthetic_duplicate,fault_role,jpeg_sha256
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,29,29,1.300000000000001,False,,5b20335819b3b1c87318415f7005319249e1c26a1cfe3e41de5ef4c9c24b6eb8
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,30,30,1.350000000000001,False,,e83a842a72f81f5f4f778e1c5c160325d00f65386e5b9ea30258dfac273f9ef3
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,31,31,1.400000000000001,False,,b06e51cfe7282e6a40c76d804dd5b0478d72b0ac1da28977f40440263eee5926
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,32,32,1.450000000000001,False,,2f2279a134a168cb83fb356f614cd3012f163b4f49fc4059b31d5bf60d6854cf
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,33,33,1.500000000000001,False,,f6da80a5635e05c2e0f4cc681b9cb9931aae361ec35b40a84a2eec349fe22e72
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,34,34,1.5300000000000011,False,,ea21c0a9bf016cf1eaec66d97122bbd237ede46d5fa7a5d1a82d821121486c03
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,35,35,1.5500000000000012,False,,343867044ecefaa77a9cbbfde3d35941f4c9fd2cfa3d4a7740daf13030e5bb84
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,36,36,1.6000000000000012,False,,1517f668dea58a0e6a46253e6c01446b8e1ad955c2554fdce1fdedf03cb4fe94
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,37,37,1.6500000000000012,False,,7bf42af18773e47362267bc53c3f8b977a0f011e7bde6be14865eb8459a13d58
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,38,38,1.7000000000000013,False,,7a8439b25896aa437de641f21c8ae0792e8603667fe367d03427fcb8fec8232a
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,39,39,1.7300000000000013,False,,167ee4a881227e1a1a5532e5248f24e7b69a5b62204cf2df8232fe9d73d67133
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,40,40,1.7500000000000013,False,,d57cc9d8a23c5ff7f13637edc9668503ff0cd5a086a0b0519c898cb939d4cbbc
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,41,41,1.8000000000000014,False,,afd18508e92d6e45c13af1ac3d020b5bad2b2b69f1e04daa914977cb875d5444
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,42,42,1.8500000000000014,False,,36c7eb97f4d0777dac24099885cc8c19d033e28d540a84aa352753fdd68ad9a9
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,43,43,1.9000000000000015,False,,f42eb2634af34cc7a8a08c01e1582ebfb9d7ed81acf275b73830bfb44bc76586
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,44,44,1.9500000000000015,False,,e7c16a3d7857df6b96d8ec2bc633839e3ba149cc24fc7fcc69932dfddca958f1
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,45,45,2.0000000000000013,False,,4b470b2f4cbd196abbfa8045a7263e09bc9efa2a97e827cf0aaaa28e64a858c9
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,46,46,2.0500000000000003,False,,a5ac9c88eb3f120aaa778779caffc9579c9d6ba92327faadccfa9f78e62d6e01
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,47,47,2.099999999999999,False,,a0e25fd9c448e62781b10afffc3ed6845f497e86a539c054690d52572eaf75fd
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,48,48,2.149999999999998,False,,c9fc5691e22e629e5a90ec2b94980ff5607637d4ac555f1305229a8fa81fe534
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,49,49,2.199999999999997,False,,83af2652520f4df2f130374a376904b9e0b313bb35fdd4065cf0d60cc727ee11
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,50,50,2.249999999999996,False,,6d2f658bdef369eb6723849503b61212814c34b2df4d96857513f10130c698ff
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,51,51,2.299999999999995,False,,f0485b3123c8fc8548acca265286bb846f597f481e81820f3ea3a5f579724394
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,52,52,2.349999999999994,False,,4993584458a9b9d5800a3f829d37e664adbcc4fc7abb0c6e6cf5cb819ac4d337
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,53,53,2.399999999999993,False,,bbb35017e5d69afff874f3b64913e20dc7e079c056a8af612aa8b2b6b1b82694
