path,case_id,readable,goal,loss,rec
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F03_920003/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F04_920004/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F05_920005/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,False,True,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F06_920006/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,False,True,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F07_920007/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
