epoch,loss,smooth_l1,rank_penalty
1,0.07674729824066162,0.07616131752729416,0.00011719675967469811
2,0.0744156613945961,0.0741301029920578,5.711177072953433e-05
3,0.07249685376882553,0.07220306992530823,5.8756158978212625e-05
4,0.07071034610271454,0.07039152085781097,6.376444798661396e-05
5,0.06901815533638,0.06865648180246353,7.23349949112162e-05
6,0.06737950444221497,0.06696212291717529,8.347605762537569e-05
7,0.06575760245323181,0.0652935653924942,9.28069421206601e-05
8,0.06412400305271149,0.06362243741750717,0.00010031261626863852
9,0.062464602291584015,0.0619325116276741,0.00010641833796398714
10,0.0607602633535862,0.06019974872469902,0.00011210281809326261
11,0.05901316925883293,0.05841870233416557,0.00011889324377989396
12,0.05725317820906639,0.056623879820108414,0.00012585947115439922
13,0.05550621822476387,0.05483700707554817,0.00013384249177761376
14,0.053706906735897064,0.05298047885298729,0.000145285579492338
15,0.051860690116882324,0.051069922745227814,0.0001581531687406823
16,0.04996584355831146,0.049105897545814514,0.00017198895511683077
17,0.04800574108958244,0.047062456607818604,0.00018865722813643515
18,0.04597954452037811,0.044943857938051224,0.00020713717094622552
19,0.043897803872823715,0.04276232048869133,0.00022709670884069055
20,0.041767314076423645,0.040520790964365005,0.000249304692260921
21,0.03961501643061638,0.03823454678058624,0.0002760937495622784
22,0.03742750361561775,0.03590669482946396,0.00030416151275858283
23,0.035232063382864,0.03355850651860237,0.0003347116580698639
24,0.033068329095840454,0.03121970221400261,0.000369725632481277
25,0.03098088875412941,0.02893230877816677,0.0004097158380318433
26,0.02899009734392166,0.026719210669398308,0.0004541774105746299
27,0.027120154350996017,0.02461353875696659,0.0005013232002966106
28,0.025414174422621727,0.02264055423438549,0.000554723956156522
29,0.02390512451529503,0.02082868292927742,0.000615288270637393
30,0.022611230611801147,0.01920764148235321,0.0006807178724557161
31,0.02154022641479969,0.01779073476791382,0.0007498983177356422
32,0.020698606967926025,0.016582749783992767,0.0008231712272390723
33,0.020050186663866043,0.015559676103293896,0.0008981020655483007
34,0.019560836255550385,0.01469614077359438,0.0009729389566928148
35,0.019163960590958595,0.01398099958896637,0.0010365921771153808
36,0.01882306858897209,0.013393600471317768,0.0010858934838324785
37,0.018489744514226913,0.012904580682516098,0.001117032952606678
38,0.018115416169166565,0.012487515807151794,0.001125579932704568
39,0.01768854260444641,0.012122037820518017,0.0011133009102195501
40,0.01719672977924347,0.011794638819992542,0.001080418354831636
41,0.016664139926433563,0.011513486504554749,0.0010301305446773767
42,0.016089800745248795,0.011252500116825104,0.0009674600441940129
43,0.015520524233579636,0.011027054861187935,0.000898693862836808
44,0.014997860416769981,0.010834728367626667,0.0008326263632625341
45,0.014509586617350578,0.010671590454876423,0.0007675991510041058
46,0.014059819281101227,0.010532546788454056,0.0007054545567370951
47,0.013651086948812008,0.010414627380669117,0.0006472919485531747
48,0.013261894695460796,0.010308044962584972,0.0005907699814997613
49,0.012908500619232655,0.010200860910117626,0.0005415279883891344
50,0.012561139650642872,0.010089656338095665,0.0004942966043017805
51,0.012227047234773636,0.009960267692804337,0.0004533559549599886
52,0.01189848780632019,0.009824475273489952,0.00041480251820757985
53,0.011602196842432022,0.009687533602118492,0.0003829325723927468
54,0.011313657276332378,0.009545406326651573,0.0003536501608323306
55,0.011049844324588776,0.009394641034305096,0.0003310407046228647
56,0.010773885063827038,0.009227939881384373,0.00030918908305466175
57,0.010491395369172096,0.0090491296723485,0.0002884531859308481
58,0.010199612937867641,0.008869611658155918,0.00026600027922540903
59,0.009899111464619637,0.008693268522620201,0.0002411686728009954
60,0.009627904742956161,0.008524608798325062,0.00022065915982238948
61,0.009368986822664738,0.008358953520655632,0.00020200666040182114
62,0.009147576987743378,0.008192319422960281,0.0001910514256451279
63,0.008924140594899654,0.008027955889701843,0.00017923692939803004
64,0.008702630177140236,0.007868066430091858,0.00016691279597580433
65,0.008483628742396832,0.007713655941188335,0.00015399462427012622
66,0.008274294435977936,0.007568076718598604,0.0001412434794474393
67,0.00806724838912487,0.007429617457091808,0.00012752614566124976
68,0.00786423310637474,0.0072983745485544205,0.00011317169264657423
69,0.007656145840883255,0.007173740305006504,9.648114064475521e-05
70,0.0074450355023145676,0.007056386675685644,7.772971730446443e-05
71,0.007233352866023779,0.006943770684301853,5.79164334340021e-05
72,0.00703171081840992,0.006835440173745155,3.925416967831552e-05
73,0.006827552802860737,0.006731889676302671,1.9132590750814416e-05
74,0.00663785869255662,0.006632979027926922,9.759635304362746e-07
75,0.006539665162563324,0.006539665162563324,0.0
76,0.006437739357352257,0.006437739357352257,0.0
77,0.006329166237264872,0.006329166237264872,0.0
78,0.006216325797140598,0.006216325797140598,0.0
79,0.006101998966187239,0.006101998966187239,0.0
80,0.005988973192870617,0.005988973192870617,0.0
