failure_event_recall,false_terminal_claim_rate,graph_id,recovery_achieved_recall,root_family_id,transition_coverage,typed_occurrence_coverage
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_000,1.0,0.5813953488372093
0.016666666666666666,1.0,G0_raw_topology,0.0,u4r1_confirm_001,1.0,0.38333333333333336
0.06557377049180328,1.0,G0_raw_topology,0.06557377049180328,u4r1_confirm_002,1.0,0.5409836065573771
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_003,1.0,0.46511627906976744
0.0,0.0,G0_raw_topology,0.0,u4r1_confirm_004,1.0,0.8
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_005,1.0,0.6170212765957447
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_006,1.0,0.5555555555555556
0.030303030303030304,1.0,G0_raw_topology,0.015151515151515152,u4r1_confirm_007,1.0,0.5151515151515151
0.07407407407407407,1.0,G0_raw_topology,0.07407407407407407,u4r1_confirm_008,1.0,0.48148148148148145
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_009,1.0,0.6739130434782609
0.0,0.0,G0_raw_topology,0.0,u4r1_confirm_010,1.0,0.8571428571428571
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_011,1.0,0.6744186046511628
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_012,1.0,0.5384615384615384
0.022727272727272728,1.0,G0_raw_topology,0.022727272727272728,u4r1_confirm_013,1.0,0.4772727272727273
0.06666666666666667,1.0,G0_raw_topology,0.06666666666666667,u4r1_confirm_014,1.0,0.5
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_015,1.0,0.5681818181818182
0.0,0.0,G0_raw_topology,0.0,u4r1_confirm_016,1.0,0.7333333333333333
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_017,1.0,0.6666666666666666
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_018,1.0,0.5555555555555556
0.02564102564102564,1.0,G0_raw_topology,0.02564102564102564,u4r1_confirm_019,1.0,0.5384615384615384
0.08163265306122448,1.0,G0_raw_topology,0.08163265306122448,u4r1_confirm_020,1.0,0.42857142857142855
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_021,1.0,0.5675675675675675
0.0,0.0,G0_raw_topology,0.0,u4r1_confirm_022,1.0,0.8461538461538461
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_023,1.0,0.7142857142857143
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_024,1.0,0.5
0.03529411764705882,1.0,G0_raw_topology,0.023529411764705882,u4r1_confirm_025,1.0,0.4
0.07272727272727272,1.0,G0_raw_topology,0.07272727272727272,u4r1_confirm_026,1.0,0.45454545454545453
0.0,1.0,G0_raw_topology,0.0,u4r1_confirm_027,1.0,0.48717948717948717
