job_id	source_job	split	status	checkpoint_sha256	provenance
f025_s20260906__val	f025_s20260906	val	PASS	MISSING	real_or_environment_rollout
f025_s20260906__test	f025_s20260906	test	PASS	MISSING	real_or_environment_rollout
f025_s20260906__stage3_diagnostic	f025_s20260906	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
f025_s20260907__val	f025_s20260907	val	PASS	MISSING	real_or_environment_rollout
f025_s20260907__test	f025_s20260907	test	PASS	MISSING	real_or_environment_rollout
f025_s20260907__stage3_diagnostic	f025_s20260907	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
f025_s20260908__val	f025_s20260908	val	PASS	MISSING	real_or_environment_rollout
f025_s20260908__test	f025_s20260908	test	PASS	MISSING	real_or_environment_rollout
f025_s20260908__stage3_diagnostic	f025_s20260908	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
f050_s20260906__val	f050_s20260906	val	PASS	MISSING	real_or_environment_rollout
f050_s20260906__test	f050_s20260906	test	PASS	MISSING	real_or_environment_rollout
f050_s20260906__stage3_diagnostic	f050_s20260906	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
f050_s20260907__val	f050_s20260907	val	PASS	MISSING	real_or_environment_rollout
f050_s20260907__test	f050_s20260907	test	PASS	MISSING	real_or_environment_rollout
f050_s20260907__stage3_diagnostic	f050_s20260907	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
f050_s20260908__val	f050_s20260908	val	PASS	MISSING	real_or_environment_rollout
f050_s20260908__test	f050_s20260908	test	PASS	MISSING	real_or_environment_rollout
f050_s20260908__stage3_diagnostic	f050_s20260908	stage3_diagnostic	PASS	MISSING	real_or_environment_rollout
