job_id	status
f025_s20260906__val	PASS
f025_s20260906__test	PASS
f025_s20260906__stage3_diagnostic	PASS
f025_s20260907__val	PASS
f025_s20260907__test	PASS
f025_s20260907__stage3_diagnostic	PASS
f025_s20260908__val	PASS
f025_s20260908__test	PASS
f025_s20260908__stage3_diagnostic	PASS
f050_s20260906__val	PASS
f050_s20260906__test	PASS
f050_s20260906__stage3_diagnostic	PASS
f050_s20260907__val	PASS
f050_s20260907__test	PASS
f050_s20260907__stage3_diagnostic	PASS
f050_s20260908__val	PASS
f050_s20260908__test	PASS
f050_s20260908__stage3_diagnostic	PASS
