job_id	train_fraction	seed	supervision_root	output_dir	selection_split	test_used_for_selection	provenance
f025_s20260906	0.25	20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f025_s20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f025_s20260906	val	False	derived_coverage_subset
f025_s20260907	0.25	20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f025_s20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f025_s20260907	val	False	derived_coverage_subset
f025_s20260908	0.25	20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f025_s20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f025_s20260908	val	False	derived_coverage_subset
f050_s20260906	0.5	20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f050_s20260906	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f050_s20260906	val	False	derived_coverage_subset
f050_s20260907	0.5	20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f050_s20260907	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f050_s20260907	val	False	derived_coverage_subset
f050_s20260908	0.5	20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/supervision/f050_s20260908	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/scaling_coverage_v1/jobs/f050_s20260908	val	False	derived_coverage_subset
