candidate_id,paired_recording,support_minimum,per_type_recall,wrong_or_unknown,conflict,premature_emergency,per_negative_stratum,information_false_emergency,hold_evidence_and_retention,delay_p95,legacy_compatibility,legacy_compatibility_status,all_pass
B_count1,True,True,True,True,True,True,False,True,False,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
B_count2,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C3_vector_rho035,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C3_vector_rho055,True,True,True,True,True,True,False,True,False,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C4_time010_disp004,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C4_time010_disp008,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C4_time020_disp004,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
C4_time020_disp008,True,True,True,True,True,True,False,True,True,True,False,NOT_EVALUATED_UNTIL_PRIMARY_EVENT_GATES_PASS,False
