level_id,scale,target_delta_v_local_mps,duration_s,rollouts,loss_count,numeric_pass_count,prehold_count,median_loss_delay_s
D0,0.0,"[0.0, 0.0, -0.0]",0.2,4,0,4,4,
D1,0.125,"[5.0, 5.0, -1.0]",0.2,4,0,4,4,
D2,0.25,"[10.0, 10.0, -2.0]",0.2,4,0,4,4,
D3,0.5,"[20.0, 20.0, -4.0]",0.2,4,0,4,4,
D4,0.75,"[30.0, 30.0, -6.0]",0.2,4,4,4,4,0.5400000000000005
D5,1.0,"[40.0, 40.0, -8.0]",0.2,4,4,4,4,0.2350000000000002
D6,1.25,"[50.0, 50.0, -10.0]",0.2,4,4,4,4,0.2100000000000002
DMID_0p625,0.625,"[25.0, 25.0, -5.0]",0.2,4,2,4,4,0.8900000000000008
