family_id,family_seed,rollout_seed,level_id,execution_valid,pre_hold_verified,numeric_health_pass,physical_loss_confirmed,loss_onset_time_abs,loss_confirmed_time_abs,loss_confirmed_delay_from_force_s
L2RAR2_RGB_CAL_00_880000,880000,88100000,D0,True,True,True,False,,,
L2RAR2_RGB_CAL_01_880001,880001,88100100,D0,True,True,True,False,,,
L2RAR2_RGB_CAL_02_880002,880002,88100200,D0,True,True,True,False,,,
L2RAR2_RGB_CAL_03_880003,880003,88100300,D0,True,True,True,False,,,
L2RAR2_RGB_CAL_00_880000,880000,88100001,D1,True,True,True,False,,,
L2RAR2_RGB_CAL_01_880001,880001,88100101,D1,True,True,True,False,,,
L2RAR2_RGB_CAL_02_880002,880002,88100201,D1,True,True,True,False,,,
L2RAR2_RGB_CAL_03_880003,880003,88100301,D1,True,True,True,False,,,
L2RAR2_RGB_CAL_00_880000,880000,88100002,D2,True,True,True,False,,,
L2RAR2_RGB_CAL_01_880001,880001,88100102,D2,True,True,True,False,,,
L2RAR2_RGB_CAL_02_880002,880002,88100202,D2,True,True,True,False,,,
L2RAR2_RGB_CAL_03_880003,880003,88100302,D2,True,True,True,False,,,
L2RAR2_RGB_CAL_00_880000,880000,88100003,D3,True,True,True,False,,,
L2RAR2_RGB_CAL_01_880001,880001,88100103,D3,True,True,True,False,,,
L2RAR2_RGB_CAL_02_880002,880002,88100203,D3,True,True,True,False,,,
L2RAR2_RGB_CAL_03_880003,880003,88100303,D3,True,True,True,False,,,
L2RAR2_RGB_CAL_00_880000,880000,88100004,D4,True,True,True,True,1.380000000000001,1.5500000000000012,0.4500000000000004
L2RAR2_RGB_CAL_01_880001,880001,88100104,D4,True,True,True,True,1.5500000000000012,1.7200000000000013,0.6200000000000006
L2RAR2_RGB_CAL_02_880002,880002,88100204,D4,True,True,True,True,1.350000000000001,1.6300000000000012,0.5300000000000005
L2RAR2_RGB_CAL_03_880003,880003,88100304,D4,True,True,True,True,1.470000000000001,1.6500000000000012,0.5500000000000005
L2RAR2_RGB_CAL_00_880000,880000,88100005,D5,True,True,True,True,1.2400000000000009,1.330000000000001,0.2300000000000002
L2RAR2_RGB_CAL_01_880001,880001,88100105,D5,True,True,True,True,1.2500000000000009,1.340000000000001,0.2400000000000002
L2RAR2_RGB_CAL_02_880002,880002,88100205,D5,True,True,True,True,1.2400000000000009,1.330000000000001,0.2300000000000002
L2RAR2_RGB_CAL_03_880003,880003,88100305,D5,True,True,True,True,1.2500000000000009,1.340000000000001,0.2400000000000002
L2RAR2_RGB_CAL_00_880000,880000,88100006,D6,True,True,True,True,1.2200000000000009,1.310000000000001,0.2100000000000002
L2RAR2_RGB_CAL_01_880001,880001,88100106,D6,True,True,True,True,1.2200000000000009,1.310000000000001,0.2100000000000002
L2RAR2_RGB_CAL_02_880002,880002,88100206,D6,True,True,True,True,1.2200000000000009,1.300000000000001,0.20000000000000018
L2RAR2_RGB_CAL_03_880003,880003,88100306,D6,True,True,True,True,1.2200000000000009,1.310000000000001,0.2100000000000002
L2RAR2_RGB_CAL_00_880000,880000,88100007,DMID_0p625,True,True,True,False,,,
L2RAR2_RGB_CAL_01_880001,880001,88100107,DMID_0p625,True,True,True,True,1.8300000000000014,1.9900000000000015,0.8900000000000008
L2RAR2_RGB_CAL_02_880002,880002,88100207,DMID_0p625,True,True,True,False,,,
L2RAR2_RGB_CAL_03_880003,880003,88100307,DMID_0p625,True,True,True,True,1.8300000000000014,1.9900000000000015,0.8900000000000008
