request_id,case_id,condition,old_goal_correct,old_objects_correct,old_scene_specific,old_order_sensible,old_checks_observable,old_scene_ready,old_unsupported_visual_assertion,new_goal_correct,new_objects_correct,new_scene_specific,new_order_sensible,new_checks_observable,new_scene_ready,new_unsupported_visual_assertion,changed_fields
confirm_F02_A_T,F02_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F02_A_V1,F02_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F02_A_V2,F02_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F02_B_T,F02_B,T,1,1,0,1,1,0,0,1,1,0,0,1,0,0,order_sensible
confirm_F02_B_V1,F02_B,V1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,
confirm_F02_B_V2,F02_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F03_A_T,F03_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F03_A_V1,F03_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F03_A_V2,F03_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F03_B_T,F03_B,T,1,1,0,1,1,0,0,1,1,0,1,1,0,0,
confirm_F03_B_V1,F03_B,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F03_B_V2,F03_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F04_A_T,F04_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F04_A_V1,F04_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F04_A_V2,F04_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F04_B_T,F04_B,T,1,1,0,1,1,0,0,1,1,0,0,1,0,0,order_sensible
confirm_F04_B_V1,F04_B,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F04_B_V2,F04_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F06_A_T,F06_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F06_A_V1,F06_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F06_A_V2,F06_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F06_B_T,F06_B,T,1,1,0,1,1,0,0,1,1,0,0,1,0,0,order_sensible
confirm_F06_B_V1,F06_B,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F06_B_V2,F06_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F07_A_T,F07_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F07_A_V1,F07_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F07_A_V2,F07_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F07_B_T,F07_B,T,1,1,0,1,1,0,0,1,1,0,1,1,0,0,
confirm_F07_B_V1,F07_B,V1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,
confirm_F07_B_V2,F07_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F08_A_T,F08_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F08_A_V1,F08_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F08_A_V2,F08_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F08_B_T,F08_B,T,1,1,0,1,1,0,0,1,1,0,0,1,0,0,order_sensible
confirm_F08_B_V1,F08_B,V1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,order_sensible;scene_ready
confirm_F08_B_V2,F08_B,V2,1,1,1,0,1,0,0,1,1,1,0,1,0,0,
confirm_F10_A_T,F10_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F10_A_V1,F10_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F10_A_V2,F10_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F10_B_T,F10_B,T,1,1,0,1,1,0,0,1,1,0,0,1,0,0,order_sensible
confirm_F10_B_V1,F10_B,V1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,
confirm_F10_B_V2,F10_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F11_A_T,F11_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F11_A_V1,F11_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F11_A_V2,F11_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F11_B_T,F11_B,T,1,1,0,1,1,0,0,1,1,0,1,1,0,0,
confirm_F11_B_V1,F11_B,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F11_B_V2,F11_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F12_A_T,F12_A,T,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F12_A_V1,F12_A,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F12_A_V2,F12_A,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F12_B_T,F12_B,T,1,1,0,1,1,0,0,1,1,0,1,1,0,0,
confirm_F12_B_V1,F12_B,V1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
confirm_F12_B_V2,F12_B,V2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,
