episode_id,n_steps,path,rollout_seed,root_family_id,split,success,terminal_reason
u4b_u4b_v1_36_8500000,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_36_8500000.json,8500000,u4b_v1_36,confirm,True,stable_success
u4b_u4b_v1_36_8500001,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_36_8500001.json,8500001,u4b_v1_36,confirm,True,stable_success
u4b_u4b_v1_36_8500002,25,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_36_8500002.json,8500002,u4b_v1_36,confirm,True,stable_success
u4b_u4b_v1_36_8500003,29,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_36_8500003.json,8500003,u4b_v1_36,confirm,True,stable_success
u4b_u4b_v1_37_8500010,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_37_8500010.json,8500010,u4b_v1_37,confirm,True,stable_success
u4b_u4b_v1_37_8500011,48,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_37_8500011.json,8500011,u4b_v1_37,confirm,False,horizon
u4b_u4b_v1_37_8500012,26,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_37_8500012.json,8500012,u4b_v1_37,confirm,True,stable_success
u4b_u4b_v1_37_8500013,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_37_8500013.json,8500013,u4b_v1_37,confirm,True,stable_success
u4b_u4b_v1_38_8500020,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_38_8500020.json,8500020,u4b_v1_38,confirm,True,stable_success
u4b_u4b_v1_38_8500021,29,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_38_8500021.json,8500021,u4b_v1_38,confirm,True,stable_success
u4b_u4b_v1_38_8500022,29,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_38_8500022.json,8500022,u4b_v1_38,confirm,True,stable_success
u4b_u4b_v1_38_8500023,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_38_8500023.json,8500023,u4b_v1_38,confirm,True,stable_success
u4b_u4b_v1_39_8500030,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_39_8500030.json,8500030,u4b_v1_39,confirm,True,stable_success
u4b_u4b_v1_39_8500031,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_39_8500031.json,8500031,u4b_v1_39,confirm,True,stable_success
u4b_u4b_v1_39_8500032,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_39_8500032.json,8500032,u4b_v1_39,confirm,True,stable_success
u4b_u4b_v1_39_8500033,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_39_8500033.json,8500033,u4b_v1_39,confirm,True,stable_success
u4b_u4b_v1_40_8500040,7,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_40_8500040.json,8500040,u4b_v1_40,confirm,False,terminal_collision
u4b_u4b_v1_40_8500041,7,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_40_8500041.json,8500041,u4b_v1_40,confirm,False,terminal_collision
u4b_u4b_v1_40_8500042,7,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_40_8500042.json,8500042,u4b_v1_40,confirm,False,terminal_collision
u4b_u4b_v1_40_8500043,6,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/reconfirmation/u4b_u4b_v1_40_8500043.json,8500043,u4b_v1_40,confirm,False,terminal_collision
