policy_seed,graph_task_success_pathgraph,graph_task_success_linear,graph_task_success_difference,recovery_success_pathgraph,recovery_success_linear,recovery_success_difference,worst_order_success_pathgraph,worst_order_success_linear,worst_order_success_difference,fixed_order_success_pathgraph,fixed_order_success_linear,fixed_order_success_difference,long_horizon_completion_pathgraph,long_horizon_completion_linear,long_horizon_completion_difference,order_gap_pathgraph,order_gap_linear
20260909,0.8,0.6,0.20000000000000007,1.0,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.6,0.20000000000000007,1.0,1.0
20260910,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20260911,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20260912,0.6,0.4,0.19999999999999996,1.0,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6,0.4,0.19999999999999996,0.0,0.0
20260913,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20260914,0.6,0.6,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6,0.6,0.0,1.0,1.0
