job_id	task_id	method	policy_seed	model_seed	data_seed	output_dir	weight_file	init_checkpoint	init_sha256	total_optimizer_steps	effective_batch_size	command
transport_recovery__linear_sarm_equiv__s20260912	transport_recovery	linear_sarm_equiv	20260912	20260912	20360912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260912/init.pt	17872c757630a60e36b378d31ddeb0ecc05c2eceeee3bc67aada59d31e50288e	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260912 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260912/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912 --max-optimizer-steps 2000 --device cuda:0"
transport_recovery__pathgraph_reward_v1_locked__s20260912	transport_recovery	pathgraph_reward_v1_locked	20260912	20260912	20360912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260912/init.pt	17872c757630a60e36b378d31ddeb0ecc05c2eceeee3bc67aada59d31e50288e	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260912 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260912/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912 --max-optimizer-steps 2000 --device cuda:0"
transport_recovery__linear_sarm_equiv__s20260913	transport_recovery	linear_sarm_equiv	20260913	20260913	20360913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260913/init.pt	2bb28a500ad8722795713430062e54bb261afa5c1921e7320d027039c778db6e	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260913 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260913/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260913 --max-optimizer-steps 2000 --device cuda:0"
transport_recovery__pathgraph_reward_v1_locked__s20260913	transport_recovery	pathgraph_reward_v1_locked	20260913	20260913	20360913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260913/init.pt	2bb28a500ad8722795713430062e54bb261afa5c1921e7320d027039c778db6e	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260913 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260913/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260913 --max-optimizer-steps 2000 --device cuda:0"
transport_recovery__linear_sarm_equiv__s20260914	transport_recovery	linear_sarm_equiv	20260914	20260914	20360914	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260914	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260914/init.pt	d088aa24e44f3f405f47bae3d3251a56b41cf4dec54329cb40bc6319443d1aee	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260914 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260914/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260914 --max-optimizer-steps 2000 --device cuda:0"
transport_recovery__pathgraph_reward_v1_locked__s20260914	transport_recovery	pathgraph_reward_v1_locked	20260914	20260914	20360914	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260914	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260914/init.pt	d088aa24e44f3f405f47bae3d3251a56b41cf4dec54329cb40bc6319443d1aee	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260914 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_recovery/seed_20260914/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260914 --max-optimizer-steps 2000 --device cuda:0"
transport_dual_order__linear_sarm_equiv__s20260912	transport_dual_order	linear_sarm_equiv	20260912	20260912	20360912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__linear_sarm_equiv__s20260912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260912/init.pt	b6ea821dc4711f6ef6947e583b1f9ed41e582e9ee105625ed61f93f159618cb7	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method linear_sarm_equiv --policy-seed 20260912 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260912/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__linear_sarm_equiv__s20260912 --max-optimizer-steps 2000 --device cuda:0"
transport_dual_order__pathgraph_reward_v1_locked__s20260912	transport_dual_order	pathgraph_reward_v1_locked	20260912	20260912	20360912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260912	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260912/init.pt	b6ea821dc4711f6ef6947e583b1f9ed41e582e9ee105625ed61f93f159618cb7	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method pathgraph_reward_v1_locked --policy-seed 20260912 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260912/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260912 --max-optimizer-steps 2000 --device cuda:0"
transport_dual_order__linear_sarm_equiv__s20260913	transport_dual_order	linear_sarm_equiv	20260913	20260913	20360913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__linear_sarm_equiv__s20260913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260913/init.pt	9e9c6df1ab6009a88cd21f7bd44d07fd17b7c7bd82917cca3cad9ee70a288f21	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method linear_sarm_equiv --policy-seed 20260913 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260913/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__linear_sarm_equiv__s20260913 --max-optimizer-steps 2000 --device cuda:0"
transport_dual_order__pathgraph_reward_v1_locked__s20260913	transport_dual_order	pathgraph_reward_v1_locked	20260913	20260913	20360913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260913	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260913/init.pt	9e9c6df1ab6009a88cd21f7bd44d07fd17b7c7bd82917cca3cad9ee70a288f21	2000	32	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method pathgraph_reward_v1_locked --policy-seed 20260913 --config /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/configs/base_policy_stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/refine_protocol_v1/initializations/transport_dual_order/seed_20260913/init.pt --output-dir /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260913 --max-optimizer-steps 2000 --device cuda:0"
