logical_id	original_path	size_bytes	sha256	purpose	recovery
dev_fit_raw	/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_fit	4458968	NOT_COMPUTED_DIRECTORY_TREE	32 fit physical rollouts including RGB and controller logs	restore exact directory; verify rollout_manifest.csv SHA256 c45646b5b52fabab7d2129e110db9247fe036d1a8487ecfc301a3ec1695b44e5
dev_select_raw	/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select	8968119	NOT_COMPUTED_DIRECTORY_TREE	64 select physical rollouts including RGB and controller logs	restore exact directory; verify rollout_manifest.csv SHA256 95cb12791d8efe8c768ace5b1f80ec5f2ee96f4ebb81dceae5e57c3af6775e7d
