schema,request_id,case_id,root_family_id,split,condition,request_metadata_sha256,image_count_planned,image_count_sent,image_sha256,requested_model,returned_model,response_id,finish_reason,payload_sha256,http_success,http_status,transport_uncertain,content_nonempty,json_parse_success,structure_errors,structure_valid,usage,latency_seconds,attempt,error_type,error_message,terminal
l1v_request_state_v1,smoke_dev_F01_A_V1,F01_A,F01,dev,V1,786b206e041916c0b3c0565fa82246487eb74970b321ce803a49b71610964b31,1,1,['cffec74079ead2f25c2635d832afa61e31dc70245fcfc2bba2ae8a5fd0e38aaa'],qwen3.7-plus,qwen3.7-plus,chatcmpl-632c6fed-8af8-9c66-a8cc-96d1750f347a,stop,d629254198bdb7ec9f36fac8d376c99b46f904b7477962ab188bf504c4dd6b79,True,200,False,True,True,[],True,"{'prompt_tokens': 1611, 'completion_tokens': 1715, 'total_tokens': 3326}",31.439474,0,,,True
l1v_request_state_v1,smoke_dev_F01_B_V1,F01_B,F01,dev,V1,9c7b2ba9b69b6c0d1cfcc4b69cc26be4570b47d0d665777d957802ab69fe4933,1,1,['a7a7552843429b1abad3f0ee24dd01813d14cd04dbaf22766b4114c4d4978ba9'],qwen3.7-plus,qwen3.7-plus,chatcmpl-bc1672ab-430d-982f-8255-33de973fe142,stop,cbff08a5a194ec4ed8b9b021f1d23d495fe1b928431add59533cf8b6d08b7468,True,200,False,True,True,[],True,"{'prompt_tokens': 1611, 'completion_tokens': 1448, 'total_tokens': 3059}",27.775653,0,,,True
