request_id,condition,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_id
smoke_dev_F01_A_V1,V1,1611,1715,3326,31.439474,chatcmpl-632c6fed-8af8-9c66-a8cc-96d1750f347a
smoke_dev_F01_B_V1,V1,1611,1448,3059,27.775653,chatcmpl-bc1672ab-430d-982f-8255-33de973fe142
