candidate_id,condition,evidence_valid,failure_class,failure_detail,parse_valid,predicate_valid,preliminary_score,provider,reusable_as_semantic_hypothesis,schema_valid,topology_valid
qwen:instruction_only_r01,instruction_only,True,NONE,hard-valid semantic hypothesis; no evidence arrays are used,True,True,0.94197222,qwen,True,True,True
qwen:instruction_only_r02,instruction_only,True,NONE,hard-valid semantic hypothesis; no evidence arrays are used,True,True,0.969,qwen,True,True,True
qwen:instruction_only_r03,instruction_only,False,HALLUCINATED_SEGMENT_ID,raw evidence identifiers were not in the locked registry,True,True,not_applicable,qwen,False,True,True
qwen:instruction_plus_auto_train_segments_r02,instruction_plus_auto_train_segments,False,UNSUPPORTED_TRANSITION_PAIR,transition pair was absent from compact train evidence,True,True,not_applicable,qwen,False,True,True
qwen:instruction_plus_budgeted_train_fallback_r01,instruction_plus_budgeted_train_fallback,False,UNSUPPORTED_TRANSITION_PAIR,transition pair was absent from compact train evidence,True,True,not_applicable,qwen,False,True,True
qwen:instruction_plus_budgeted_train_fallback_r02,instruction_plus_budgeted_train_fallback,False,HALLUCINATED_SEGMENT_ID,raw evidence identifiers were not in the locked registry,True,True,not_applicable,qwen,False,True,True
deepseek:instruction_only_r01,instruction_only,False,UNSUPPORTED_TRANSITION_PAIR,transition pair was absent from compact train evidence,True,True,not_applicable,deepseek,False,True,True
deepseek:instruction_plus_auto_train_segments_r01,instruction_plus_auto_train_segments,False,HALLUCINATED_SEGMENT_ID,raw evidence identifiers were not in the locked registry,True,True,not_applicable,deepseek,False,True,False
deepseek:instruction_plus_budgeted_train_fallback_r01,instruction_plus_budgeted_train_fallback,False,HALLUCINATED_SEGMENT_ID,raw evidence identifiers were not in the locked registry,True,True,not_applicable,deepseek,False,True,True
