split,family,motif,slot,fallback_initial,left_error,right_error,structure_hash_left,structure_hash_right,parameter_hash
development,1301000,PRECEDENCE,0,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,1,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,2,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,3,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,4,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,5,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,6,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,7,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,8,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
development,1301000,PRECEDENCE,9,False,,,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,b9d85010fae2582f7f02a84d24a222494b16ff9a53e44fecaa7ee41d2a70f746,7a27fc75f91d55d63d2d40196d771e6a9be944e004bca75d8ff617746b313873
