episode,seed,success,decision_points,first_timestep,last_timestep,episode_file,video_file,episode_sha256,video_sha256,obs_shape,action_shape
28,100028,True,79,0,624,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0028_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0028_succ.mp4,5a067e00b373ca51d724bced90d5106803719110b21dcd4a42f95ea953a0e7a7,67af1f1f20a308c34aec2703d90e2eb6f94e7f1132c6ff50f31f41c9eba06bd4,"(2, 59)","(16, 20)"
29,100029,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0029_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0029_fail.mp4,e833aa014eca2e9215c910de4b3616d1ea992cc61ba3126488266a0fd988f175,33b4875775417de9eacc511a8d8671725656e5fc4da9223a8a641012d9bbc06a,"(2, 59)","(16, 20)"
30,100030,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0030_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0030_fail.mp4,41499c8e443c7a4ba6291e30e73ef3be118e569eb6f9b1a44a7ceac503ceb0e6,414679b3694429b64c7a0a4c833efdccf0d7f282f02e3b6932420628aae5c335,"(2, 59)","(16, 20)"
31,100031,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0031_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0031_fail.mp4,215dcf7d89c9613c85fbefa9789f3f51688429fd5e023c37c5c8e5832207664a,394af14127dc378bdc53f4c0dce9afafc3d04296c25446604fa4326b122d9d73,"(2, 59)","(16, 20)"
32,100032,True,51,0,400,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0032_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0032_succ.mp4,982485889ba043354c22315d9cfbf9cfd06cb04eb1c0f20fcf0834282b68a7ae,8b7d9f960e63616753c6a84c896b7e48dfaa8eead5c93750df980dc7611caf75,"(2, 59)","(16, 20)"
33,100033,True,82,0,648,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0033_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0033_succ.mp4,9cda9e9422474c36e984580a2b70b8faf730353a69c1da0edb42b16f33f3ce0f,a1f369e7a142be762b3107b86330214218304a58bc316926230387486803eafc,"(2, 59)","(16, 20)"
34,100034,True,73,0,576,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0034_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0034_succ.mp4,ca62cd1e7a4d36b3dadb9902cebfad79bed15f09e4a8f823e52bf9be85c7eac8,5f3c279b7a3fcaedeaadfecf8f1d2496a10cbd06416dd51329cd7feb0aa3139f,"(2, 59)","(16, 20)"
35,100035,True,56,0,440,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0035_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0035_succ.mp4,1b13ca39a071634266e8e4609019ef524dee0c8280b7b4f7ebf0647284a0014e,422892305d66ab180ec75d2e0c4333ba0fb196fa316db7e899216071a8c20773,"(2, 59)","(16, 20)"
36,100036,True,72,0,568,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0036_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0036_succ.mp4,5792bb5bb775b538cb492f5d33b12222f612f68ee5b1954eccda87a2332a0be4,c7a35b9393d3ea45acdc52b8a0d553431bddcf09dd7638d9f8eb84a524a5be35,"(2, 59)","(16, 20)"
37,100037,True,59,0,464,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0037_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0037_succ.mp4,ffb4e05a8c41ee01661daf9641526059c15d7e2869e4c40b6db41abd00f37606,d662ad90e9f43c233cfdc5b45cea65d04ba1a75fd651af1044c97307c4c61705,"(2, 59)","(16, 20)"
38,100038,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0038_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0038_fail.mp4,e2a1ba3127ba24cac33c5797efc314e46eb4054b68bc06f475be734c75a50916,7304f02a2745ff0e064dd74e62951733a6940a2401dbacdec701b3086c9e201b,"(2, 59)","(16, 20)"
39,100039,True,81,0,640,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0039_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0039_succ.mp4,c29166f6720fbfeb5d97ac90fd48016a29a57a75557b459ede707c55b83aac06,49418d7d4dfccab65137f647bac3d0a32e8b015e0d977dbb01bedeebe9c52bd6,"(2, 59)","(16, 20)"
40,100040,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0040_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0040_fail.mp4,fc3c0d3b017ea5894aed2790e04922f47b23eb936d176b02fc2a31e659b0a1a4,cf62858f7d75f9ba6c482d047f723fbee5ce9d95a7b62bbd15deca4b2411f090,"(2, 59)","(16, 20)"
41,100041,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0041_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0041_fail.mp4,c55825f5c75315da53c53af61d56bc999163ae825ae657d7eb7375ca1645fc24,19bbe3419b06e66c31dd84fb3d84e4b9b22614e22c52ffa7d24b849b1740d0fa,"(2, 59)","(16, 20)"
