repeat,direction,source_pool_size,target_pool_size,method,selected_count,precision_against_independent_bottom20,recall_against_independent_bottom20,jaccard_against_independent_bottom20,mean_independent_rank_percentile,negative_score_rate_in_independent_pool
0,A_to_B,50,50,fixed_bottom20,38.0,0.42105263157894735,0.42105263157894735,0.26666666666666666,0.3755482456140351,0.5
0,A_to_B,50,50,fixed_bottom10,19.0,0.47368421052631576,0.23684210526315788,0.1875,0.3097587719298246,0.5789473684210527
0,A_to_B,50,50,stable_core_p_ge_0.80,15.0,0.3333333333333333,0.13157894736842105,0.10416666666666667,0.3645833333333333,0.4666666666666667
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.80,15.0,0.4,0.15789473684210525,0.1276595744680851,0.3218750000000001,0.5333333333333333
0,A_to_B,50,50,stable_core_p_ge_0.90,7.0,0.14285714285714285,0.02631578947368421,0.022727272727272728,0.4479166666666667,0.2857142857142857
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.90,7.0,0.42857142857142855,0.07894736842105263,0.07142857142857142,0.36830357142857145,0.42857142857142855
0,A_to_B,50,50,stable_core_p_ge_0.95,4.0,0.25,0.02631578947368421,0.024390243902439025,0.3671875,0.25
0,A_to_B,50,50,matched_size_bottom_for_p_ge_0.95,4.0,0.25,0.02631578947368421,0.024390243902439025,0.50390625,0.25
0,B_to_A,50,50,fixed_bottom20,38.0,0.42105263157894735,0.42105263157894735,0.26666666666666666,0.3665021929824562,0.5789473684210527
0,B_to_A,50,50,fixed_bottom10,19.0,0.5263157894736842,0.2631578947368421,0.2127659574468085,0.2801535087719298,0.7368421052631579
0,B_to_A,50,50,stable_core_p_ge_0.80,7.0,0.5714285714285714,0.10526315789473684,0.0975609756097561,0.31026785714285715,0.5714285714285714
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.80,7.0,0.8571428571428571,0.15789473684210525,0.15384615384615385,0.10863095238095237,1.0
0,B_to_A,50,50,stable_core_p_ge_0.90,2.0,1.0,0.05263157894736842,0.05263157894736842,0.08072916666666667,1.0
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.90,2.0,1.0,0.05263157894736842,0.05263157894736842,0.03125,1.0
0,B_to_A,50,50,stable_core_p_ge_0.95,1.0,1.0,0.02631578947368421,0.02631578947368421,0.125,1.0
0,B_to_A,50,50,matched_size_bottom_for_p_ge_0.95,1.0,1.0,0.02631578947368421,0.02631578947368421,0.036458333333333336,1.0
1,A_to_B,50,50,fixed_bottom20,38.0,0.3684210526315789,0.3684210526315789,0.22580645161290322,0.38418311403508776,0.5526315789473685
1,A_to_B,50,50,fixed_bottom10,19.0,0.47368421052631576,0.23684210526315788,0.1875,0.3358004385964913,0.631578947368421
1,A_to_B,50,50,stable_core_p_ge_0.80,13.0,0.5384615384615384,0.18421052631578946,0.1590909090909091,0.24759615384615385,0.7692307692307693
1,A_to_B,50,50,matched_size_bottom_for_p_ge_0.80,13.0,0.46153846153846156,0.15789473684210525,0.13333333333333333,0.2796474358974359,0.6923076923076923
