budget,proportion,delete_k,stable_delete_count_p_ge_0.90,stable_keep_count_p_le_0.10,ambiguous_count_p_between_0.10_and_0.90,strongly_ambiguous_count_p_between_0.20_and_0.80
10,0.05,10,0,154,38,13
10,0.1,19,0,126,66,34
10,0.2,38,0,58,134,82
10,0.3,58,0,14,178,136
25,0.05,10,0,161,31,17
25,0.1,19,0,141,51,34
25,0.2,38,0,92,100,68
25,0.3,58,0,47,145,105
50,0.05,10,0,169,23,15
50,0.1,19,2,154,36,27
50,0.2,38,5,114,73,46
50,0.3,58,13,78,101,69
75,0.05,10,2,174,16,11
75,0.1,19,5,162,25,15
75,0.2,38,17,131,44,30
75,0.3,58,28,102,62,34
