label,level_id,execution_valid,pre_hold_verified,numeric_health_pass,physical_loss_confirmed,selected,failure_reason
primary_control,None,False,,True,False,False,PREHOLD_UNVERIFIED
backup_control,None,False,,True,False,False,PREHOLD_UNVERIFIED
I1,I1,False,,True,False,False,PREHOLD_UNVERIFIED
I2,I2,False,,True,False,False,PREHOLD_UNVERIFIED
I3,I3,False,,True,False,False,PREHOLD_UNVERIFIED
