case_id,split,seed,target_x,target_y,interferer_x,interferer_y,dx,dy,abs_dx,abs_dy,aabb_overlap_x,aabb_overlap_y,aabb_overlap,classification,source_sha256
T_C_train_00,train,3100,-0.029589468028479754,-0.17017310450284506,-0.0073394313795659485,-0.13936830180712906,0.022250036648913805,0.030804802695716005,0.022250036648913805,0.030804802695716005,0.017749963351086195,0.009195197304283996,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_01,train,3101,-0.19085219892751087,-0.1565598748401086,-0.16039004520618239,-0.1338429826526162,0.03046215372132849,0.0227168921874924,0.03046215372132849,0.0227168921874924,0.009537846278671512,0.017283107812507602,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_02,train,3102,-0.08483480868981999,-0.09576008235604955,-0.05537417735662098,-0.07175859903835995,0.02946063133319901,0.0240014833176896,0.02946063133319901,0.0240014833176896,0.01053936866680099,0.0159985166823104,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_03,train,3103,-0.11329606954191995,-0.06574098566021033,-0.08119229199137618,-0.045410037158352345,0.03210377755054378,0.020330948501857987,0.03210377755054378,0.020330948501857987,0.007896222449456224,0.019669051498142014,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_04,train,3104,-0.1374106105345778,-0.1666714800343201,-0.10920973897856573,-0.14120167745398374,0.028200871556012058,0.025469802580336376,0.028200871556012058,0.025469802580336376,0.011799128443987943,0.014530197419663625,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_05,train,3105,-0.17850179997834545,-0.05510083375667171,-0.1443569314268896,-0.03842366518392531,0.03414486855145585,0.016677168572746405,0.03414486855145585,0.016677168572746405,0.005855131448544153,0.023322831427253596,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_06,train,3106,-0.027130084548613598,-0.1604651219288199,-0.004555223790280831,-0.12989756295297286,0.022574860758332767,0.030567558975847037,0.022574860758332767,0.030567558975847037,0.017425139241667234,0.009432441024152964,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_07,train,3107,-0.1493164678058965,-0.02642082885473465,-0.11459389718497812,-0.010982464644905437,0.03472257062091838,0.015438364209829214,0.03472257062091838,0.015438364209829214,0.00527742937908162,0.024561635790170788,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_08,train,3108,-0.1717724695607974,-0.02468312342231055,-0.13662892338626978,-0.010228672125950482,0.03514354617452761,0.014454451296360067,0.03514354617452761,0.014454451296360067,0.0048564538254723885,0.025545548703639932,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_09,train,3109,-0.08480698149264626,-0.10129474349338703,-0.05564829863378902,-0.07692732233445877,0.02915868285885724,0.02436742115892826,0.02915868285885724,0.02436742115892826,0.01084131714114276,0.01563257884107174,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_10,train,3110,-0.046200662229695016,-0.17903241071941173,-0.023275907491676077,-0.14872637798330984,0.02292475473801894,0.030306032736101884,0.02292475473801894,0.030306032736101884,0.01707524526198106,0.009693967263898116,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_11,train,3111,-0.20011904242130488,-0.10745089684486808,-0.1675108502561763,-0.08793921307021538,0.032608192165128586,0.019511683774652705,0.032608192165128586,0.019511683774652705,0.007391807834871415,0.020488316225347296,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_12,train,3112,-0.19084302821333796,-0.0601390911182792,-0.15666227366795724,-0.04353559694661657,0.03418075454538072,0.016603494171662625,0.03418075454538072,0.016603494171662625,0.00581924545461928,0.023396505828337376,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_13,train,3113,-0.06196944153301587,-0.12374664641302932,-0.03519787891946609,-0.09677845338441163,0.02677156261354978,0.026968193028617693,0.02677156261354978,0.026968193028617693,0.013228437386450222,0.013031806971382308,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_14,train,3114,-0.1025427478103286,-0.022692279771297424,-0.06862302135848415,-0.0055618344346447905,0.03391972645184445,0.017130445336652634,0.03391972645184445,0.017130445336652634,0.006080273548155553,0.022869554663347367,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_15,train,3115,-0.036829670249629964,-0.10451158581337386,-0.010431307070779595,-0.0771779724137972,0.02639836317885037,0.027333613399576656,0.02639836317885037,0.027333613399576656,0.013601636821149631,0.012666386600423345,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_16,train,3116,-0.03107953642660985,-0.13450883417450948,-0.006821177918689084,-0.10525935482014852,0.024258358507920765,0.029249479354360966,0.024258358507920765,0.029249479354360966,0.015741641492079236,0.010750520645639035,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_17,train,3117,-0.12360523911418672,-0.09007060515088837,-0.09235627037145808,-0.06844881168882865,0.031248968742728644,0.021621793462059724,0.031248968742728644,0.021621793462059724,0.008751031257271356,0.018378206537940277,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
