run,phase,case_id,index,wall_start,wall_end,wall_seconds,sim_start,sim_end,ncon,status
single_process_b2_dev04,env_step,T_C_dev_04,0,1116236.002133929,1116236.142653301,0.1405193719547242,0.0,0.05000000000000003,28,returned
single_process_b2_dev04,env_step,T_C_dev_04,1,1116236.248216308,1116236.270290036,0.022073728032410145,0.05000000000000003,0.10000000000000007,30,returned
single_process_b2_dev04,env_step,T_C_dev_04,2,1116236.338617119,1116236.358428729,0.01981160999275744,0.10000000000000007,0.1500000000000001,30,returned
single_process_b2_dev04,env_step,T_C_dev_04,3,1116236.396442059,1116236.415766923,0.019324864028021693,0.1500000000000001,0.20000000000000015,30,returned
single_process_full_dev04,env_step,T_C_dev_04,0,1116379.436225202,1116379.505550094,0.06932489201426506,0.0,0.05000000000000003,28,returned
single_process_full_dev04,env_step,T_C_dev_04,1,1116379.539031864,1116379.579509435,0.040477571077644825,0.05000000000000003,0.10000000000000007,30,returned
single_process_full_dev04,env_step,T_C_dev_04,2,1116379.641932999,1116379.662352741,0.020419741980731487,0.10000000000000007,0.1500000000000001,30,returned
single_process_full_dev04,env_step,T_C_dev_04,3,1116379.733636726,1116379.754520686,0.02088396018370986,0.1500000000000001,0.20000000000000015,30,returned
single_process_b2_train01,env_step,T_C_train_01,0,1116391.607902973,1116391.660485839,0.05258286604657769,0.0,0.05000000000000003,28,returned
single_process_b2_train01,env_step,T_C_train_01,1,1116391.663497218,1116391.684052306,0.020555088063701987,0.05000000000000003,0.10000000000000007,28,returned
single_process_b2_train01,env_step,T_C_train_01,2,1116391.686794279,1116391.704664632,0.01787035306915641,0.10000000000000007,0.1500000000000001,28,returned
single_process_b2_train01,env_step,T_C_train_01,3,1116391.728324041,1116391.762739709,0.03441566810943186,0.1500000000000001,0.20000000000000015,28,returned
single_process_d0_control,env_step,D0_dev_00,0,1116403.648675329,1116403.69878151,0.05010618083178997,0.0,0.05000000000000003,24,returned
single_process_d0_control,env_step,D0_dev_00,1,1116403.812404598,1116403.829600001,0.017195402877405286,0.05000000000000003,0.10000000000000007,24,returned
single_process_d0_control,env_step,D0_dev_00,2,1116403.891083712,1116403.927279887,0.036196175031363964,0.10000000000000007,0.1500000000000001,24,returned
single_process_d0_control,env_step,D0_dev_00,3,1116403.953813446,1116403.970725584,0.01691213808953762,0.1500000000000001,0.20000000000000015,24,returned
