episode_id,n_states,case_id,family_id,first_target,last_target,target_unchanged
P1V6_931100_C1_NORMAL_93310000,286,C1_NORMAL,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C2_LOSS_RETURN_P40_93310001,251,C2_LOSS_RETURN_P40,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C3_LOSS_RETURN_P80_93310002,302,C3_LOSS_RETURN_P80,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C4_THREE_RETURNS_P40_93310003,451,C4_THREE_RETURNS_P40,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,162,C5_RECOVERY_COMMAND_NO_MOTION,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,181,C6_PARTIAL_APPROACH_NO_REGRASP,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,161,C7_NO_LOSS_OUT_AND_BACK,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931100_C8_COMMANDED_RELEASE_93310007,286,C8_COMMANDED_RELEASE,931100,"[0.3256359161289748, 0.1347268396568705]","[0.3256359161289748, 0.1347268396568705]",True
P1V6_931101_C1_NORMAL_93310100,280,C1_NORMAL,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C2_LOSS_RETURN_P40_93310101,222,C2_LOSS_RETURN_P40,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C3_LOSS_RETURN_P80_93310102,264,C3_LOSS_RETURN_P80,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C4_THREE_RETURNS_P40_93310103,392,C4_THREE_RETURNS_P40,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,160,C5_RECOVERY_COMMAND_NO_MOTION,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
