episode_id,case_id,family_id,recovery_started_rewards,rehold_rewards,label_only_zero
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,C5_RECOVERY_COMMAND_NO_MOTION,931100,[],[],
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,C6_PARTIAL_APPROACH_NO_REGRASP,931100,[],[],
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,C5_RECOVERY_COMMAND_NO_MOTION,931101,[],[],
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,C6_PARTIAL_APPROACH_NO_REGRASP,931101,[],[],
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,C5_RECOVERY_COMMAND_NO_MOTION,931102,[],[],
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,C6_PARTIAL_APPROACH_NO_REGRASP,931102,[],[],
P1V6_931103_C5_RECOVERY_COMMAND_NO_MOTION_93310304,C5_RECOVERY_COMMAND_NO_MOTION,931103,[],[],
P1V6_931103_C6_PARTIAL_APPROACH_NO_REGRASP_93310305,C6_PARTIAL_APPROACH_NO_REGRASP,931103,[],[],
P1V6_931104_C5_RECOVERY_COMMAND_NO_MOTION_93310404,C5_RECOVERY_COMMAND_NO_MOTION,931104,[],[],
P1V6_931104_C6_PARTIAL_APPROACH_NO_REGRASP_93310405,C6_PARTIAL_APPROACH_NO_REGRASP,931104,[],[],
P1V6_931105_C5_RECOVERY_COMMAND_NO_MOTION_93310504,C5_RECOVERY_COMMAND_NO_MOTION,931105,[],[],
P1V6_931105_C6_PARTIAL_APPROACH_NO_REGRASP_93310505,C6_PARTIAL_APPROACH_NO_REGRASP,931105,[],[],
P1V6_931106_C5_RECOVERY_COMMAND_NO_MOTION_93310604,C5_RECOVERY_COMMAND_NO_MOTION,931106,[],[],
P1V6_931106_C6_PARTIAL_APPROACH_NO_REGRASP_93310605,C6_PARTIAL_APPROACH_NO_REGRASP,931106,[],[],
P1V6_931107_C5_RECOVERY_COMMAND_NO_MOTION_93310704,C5_RECOVERY_COMMAND_NO_MOTION,931107,[],[],
P1V6_931107_C6_PARTIAL_APPROACH_NO_REGRASP_93310705,C6_PARTIAL_APPROACH_NO_REGRASP,931107,[],[],
