episode_id,object_id,loss_id,interval_kind,start,end,onset,restoration,closure_status,confirmation_passed,case_id,family_id
P1V6_931100_C2_LOSS_RETURN_P40_93310001,obj,L1,LOSS_LOCAL,124,,125,192,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931100
P1V6_931100_C3_LOSS_RETURN_P80_93310002,obj,L1,LOSS_LOCAL,155,,156,,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931100
P1V6_931100_C4_THREE_RETURNS_P40_93310003,obj,L1,LOSS_LOCAL,124,,125,192,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931100
P1V6_931100_C4_THREE_RETURNS_P40_93310003,obj,L2,LOSS_LOCAL,318,,319,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931100
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,obj,L1,LOSS_LOCAL,124,,125,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931100
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,obj,L1,LOSS_LOCAL,124,,125,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931100
P1V6_931101_C2_LOSS_RETURN_P40_93310101,obj,L1,LOSS_LOCAL,122,,123,180,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931101
P1V6_931101_C3_LOSS_RETURN_P80_93310102,obj,L1,LOSS_LOCAL,150,,151,208,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931101
P1V6_931101_C4_THREE_RETURNS_P40_93310103,obj,L1,LOSS_LOCAL,122,,123,180,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931101
P1V6_931101_C4_THREE_RETURNS_P40_93310103,obj,L2,LOSS_LOCAL,287,,288,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931101
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931101
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931101
P1V6_931102_C2_LOSS_RETURN_P40_93310201,obj,L1,LOSS_LOCAL,121,,122,178,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931102
P1V6_931102_C3_LOSS_RETURN_P80_93310202,obj,L1,LOSS_LOCAL,150,,151,207,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931102
P1V6_931102_C4_THREE_RETURNS_P40_93310203,obj,L1,LOSS_LOCAL,121,,122,178,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931102
P1V6_931102_C4_THREE_RETURNS_P40_93310203,obj,L2,LOSS_LOCAL,299,,300,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931102
