episode_id,kind,case_id,family_id,reason
P1V6_931100_C1_NORMAL_93310000,MACRO,C1_NORMAL,931100,NO_OBSERVED_RETURN
P1V6_931100_C2_LOSS_RETURN_P40_93310001,MACRO,C2_LOSS_RETURN_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C2_LOSS_RETURN_P40_93310001,LOSS_LOCAL,C2_LOSS_RETURN_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C3_LOSS_RETURN_P80_93310002,MACRO,C3_LOSS_RETURN_P80,931100,NO_OBSERVED_RETURN
P1V6_931100_C3_LOSS_RETURN_P80_93310002,LOSS_LOCAL,C3_LOSS_RETURN_P80,931100,NO_OBSERVED_RETURN
P1V6_931100_C4_THREE_RETURNS_P40_93310003,MACRO,C4_THREE_RETURNS_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C4_THREE_RETURNS_P40_93310003,MACRO,C4_THREE_RETURNS_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C4_THREE_RETURNS_P40_93310003,LOSS_LOCAL,C4_THREE_RETURNS_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C4_THREE_RETURNS_P40_93310003,LOSS_LOCAL,C4_THREE_RETURNS_P40,931100,NO_OBSERVED_RETURN
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,MACRO,C5_RECOVERY_COMMAND_NO_MOTION,931100,NO_OBSERVED_RETURN
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,LOSS_LOCAL,C5_RECOVERY_COMMAND_NO_MOTION,931100,NO_OBSERVED_RETURN
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,MACRO,C6_PARTIAL_APPROACH_NO_REGRASP,931100,NO_OBSERVED_RETURN
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,LOSS_LOCAL,C6_PARTIAL_APPROACH_NO_REGRASP,931100,NO_OBSERVED_RETURN
P1V6_931100_C8_COMMANDED_RELEASE_93310007,MACRO,C8_COMMANDED_RELEASE,931100,NO_OBSERVED_RETURN
P1V6_931101_C1_NORMAL_93310100,MACRO,C1_NORMAL,931101,NO_OBSERVED_RETURN
P1V6_931101_C2_LOSS_RETURN_P40_93310101,MACRO,C2_LOSS_RETURN_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C2_LOSS_RETURN_P40_93310101,LOSS_LOCAL,C2_LOSS_RETURN_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C3_LOSS_RETURN_P80_93310102,MACRO,C3_LOSS_RETURN_P80,931101,NO_OBSERVED_RETURN
P1V6_931101_C3_LOSS_RETURN_P80_93310102,LOSS_LOCAL,C3_LOSS_RETURN_P80,931101,NO_OBSERVED_RETURN
P1V6_931101_C4_THREE_RETURNS_P40_93310103,MACRO,C4_THREE_RETURNS_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C4_THREE_RETURNS_P40_93310103,MACRO,C4_THREE_RETURNS_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C4_THREE_RETURNS_P40_93310103,LOSS_LOCAL,C4_THREE_RETURNS_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C4_THREE_RETURNS_P40_93310103,LOSS_LOCAL,C4_THREE_RETURNS_P40,931101,NO_OBSERVED_RETURN
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,MACRO,C5_RECOVERY_COMMAND_NO_MOTION,931101,NO_OBSERVED_RETURN
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,LOSS_LOCAL,C5_RECOVERY_COMMAND_NO_MOTION,931101,NO_OBSERVED_RETURN
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,MACRO,C6_PARTIAL_APPROACH_NO_REGRASP,931101,NO_OBSERVED_RETURN
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,LOSS_LOCAL,C6_PARTIAL_APPROACH_NO_REGRASP,931101,NO_OBSERVED_RETURN
P1V6_931101_C8_COMMANDED_RELEASE_93310107,MACRO,C8_COMMANDED_RELEASE,931101,NO_OBSERVED_RETURN
P1V6_931102_C1_NORMAL_93310200,MACRO,C1_NORMAL,931102,NO_OBSERVED_RETURN
P1V6_931102_C2_LOSS_RETURN_P40_93310201,MACRO,C2_LOSS_RETURN_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C2_LOSS_RETURN_P40_93310201,LOSS_LOCAL,C2_LOSS_RETURN_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C3_LOSS_RETURN_P80_93310202,MACRO,C3_LOSS_RETURN_P80,931102,NO_OBSERVED_RETURN
P1V6_931102_C3_LOSS_RETURN_P80_93310202,LOSS_LOCAL,C3_LOSS_RETURN_P80,931102,NO_OBSERVED_RETURN
P1V6_931102_C4_THREE_RETURNS_P40_93310203,MACRO,C4_THREE_RETURNS_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C4_THREE_RETURNS_P40_93310203,MACRO,C4_THREE_RETURNS_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C4_THREE_RETURNS_P40_93310203,LOSS_LOCAL,C4_THREE_RETURNS_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C4_THREE_RETURNS_P40_93310203,LOSS_LOCAL,C4_THREE_RETURNS_P40,931102,NO_OBSERVED_RETURN
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,MACRO,C5_RECOVERY_COMMAND_NO_MOTION,931102,NO_OBSERVED_RETURN
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,LOSS_LOCAL,C5_RECOVERY_COMMAND_NO_MOTION,931102,NO_OBSERVED_RETURN
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,MACRO,C6_PARTIAL_APPROACH_NO_REGRASP,931102,NO_OBSERVED_RETURN
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,LOSS_LOCAL,C6_PARTIAL_APPROACH_NO_REGRASP,931102,NO_OBSERVED_RETURN
P1V6_931102_C8_COMMANDED_RELEASE_93310207,MACRO,C8_COMMANDED_RELEASE,931102,NO_OBSERVED_RETURN
P1V6_931103_C1_NORMAL_93310300,MACRO,C1_NORMAL,931103,NO_OBSERVED_RETURN
P1V6_931103_C2_LOSS_RETURN_P40_93310301,MACRO,C2_LOSS_RETURN_P40,931103,NO_OBSERVED_RETURN
P1V6_931103_C2_LOSS_RETURN_P40_93310301,LOSS_LOCAL,C2_LOSS_RETURN_P40,931103,NO_OBSERVED_RETURN
P1V6_931103_C3_LOSS_RETURN_P80_93310302,MACRO,C3_LOSS_RETURN_P80,931103,NO_OBSERVED_RETURN
P1V6_931103_C3_LOSS_RETURN_P80_93310302,LOSS_LOCAL,C3_LOSS_RETURN_P80,931103,NO_OBSERVED_RETURN
P1V6_931103_C4_THREE_RETURNS_P40_93310303,MACRO,C4_THREE_RETURNS_P40,931103,NO_OBSERVED_RETURN
P1V6_931103_C4_THREE_RETURNS_P40_93310303,LOSS_LOCAL,C4_THREE_RETURNS_P40,931103,NO_OBSERVED_RETURN
P1V6_931103_C5_RECOVERY_COMMAND_NO_MOTION_93310304,MACRO,C5_RECOVERY_COMMAND_NO_MOTION,931103,NO_OBSERVED_RETURN
P1V6_931103_C5_RECOVERY_COMMAND_NO_MOTION_93310304,LOSS_LOCAL,C5_RECOVERY_COMMAND_NO_MOTION,931103,NO_OBSERVED_RETURN
P1V6_931103_C6_PARTIAL_APPROACH_NO_REGRASP_93310305,MACRO,C6_PARTIAL_APPROACH_NO_REGRASP,931103,NO_OBSERVED_RETURN
P1V6_931103_C6_PARTIAL_APPROACH_NO_REGRASP_93310305,LOSS_LOCAL,C6_PARTIAL_APPROACH_NO_REGRASP,931103,NO_OBSERVED_RETURN
P1V6_931103_C8_COMMANDED_RELEASE_93310307,MACRO,C8_COMMANDED_RELEASE,931103,NO_OBSERVED_RETURN
P1V6_931104_C1_NORMAL_93310400,MACRO,C1_NORMAL,931104,NO_OBSERVED_RETURN
P1V6_931104_C2_LOSS_RETURN_P40_93310401,MACRO,C2_LOSS_RETURN_P40,931104,NO_OBSERVED_RETURN
P1V6_931104_C2_LOSS_RETURN_P40_93310401,LOSS_LOCAL,C2_LOSS_RETURN_P40,931104,NO_OBSERVED_RETURN
P1V6_931104_C3_LOSS_RETURN_P80_93310402,MACRO,C3_LOSS_RETURN_P80,931104,NO_OBSERVED_RETURN
