rollout_id,status,rows,missing_frames,errors,output_sha256
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,7bb23e0d842459fdfe5690038eef3f5a9833b2ce720e1a648c4e127b42ba0d00
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,PASS,67,0,0,cffc700300ce4415a0c4bd4def63e2f86b8e87951e0028ba208aeb3a33528364
L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean,PASS,56,0,0,a218634e7ebbe138591aeb700e401af9951787d3db11f728d21c7c523a79c1db
L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,a218634e7ebbe138591aeb700e401af9951787d3db11f728d21c7c523a79c1db
L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,a218634e7ebbe138591aeb700e401af9951787d3db11f728d21c7c523a79c1db
L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms,PASS,61,0,0,a8b57a48c71e9c22310345080952f1caacafd220d9bffdb4e920119d068f9886
L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,d6d7c4ffe876775d6e33d08a646e2184803ddd26205113d45d93e4b45b21b7e2
L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release,PASS,67,0,0,c1a52d9bc2b4c1d6b966a30309fc1b76db493ab00f25c96aef4122c58079ecee
L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean,PASS,56,0,0,5797d9f2dfe43e7e96d5e3b8a00dbff162bf1392ced1fd8d5cd40269ae47899a
L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,5797d9f2dfe43e7e96d5e3b8a00dbff162bf1392ced1fd8d5cd40269ae47899a
L2RAR2_R22_CANON_01_890001__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,5797d9f2dfe43e7e96d5e3b8a00dbff162bf1392ced1fd8d5cd40269ae47899a
L2RAR2_R22_CANON_01_890001__T7_transport_strong_phase_00ms,PASS,61,0,0,d3ac346bca274e43f0af49a188639591a4e3d253c0617d9d96bd71e57b440a22
L2RAR2_R22_CANON_02_890002__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,b92cae36b9541f7bd181d29e8b4ef5e38ce34a5f563cf3587a7ff34b719f8f5f
L2RAR2_R22_CANON_02_890002__T12_transport_commanded_release,PASS,67,0,0,6102fd7d9d0c7da7ad024b8581e6c4bce173d76fd3d55ed9a14ffe5b18a321ca
L2RAR2_R22_CANON_02_890002__T1_transport_stable_clean,PASS,56,0,0,87d799356dde60df0ebf191c3c49711639cec8409eb4d6d8b6b1a7d524ec6f02
L2RAR2_R22_CANON_02_890002__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,87d799356dde60df0ebf191c3c49711639cec8409eb4d6d8b6b1a7d524ec6f02
L2RAR2_R22_CANON_02_890002__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,87d799356dde60df0ebf191c3c49711639cec8409eb4d6d8b6b1a7d524ec6f02
L2RAR2_R22_CANON_02_890002__T7_transport_strong_phase_00ms,PASS,61,0,0,68626b64c1a9098dcf7917fc85c832a0c42a5ffc9e9e1ea31d6a18514e9c9fc1
L2RAR2_R22_CANON_03_890003__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,2a6d888fc3d419242191a2daebd6af21867ac9c4234d7ff105d3aa0be0ce7aa9
L2RAR2_R22_CANON_03_890003__T12_transport_commanded_release,PASS,67,0,0,3dea25fa59ffc77efbdb4b226de1d7eb2b98b55e17da316690ed053378b3f2bb
L2RAR2_R22_CANON_03_890003__T1_transport_stable_clean,PASS,56,0,0,0d2f49e349ce0dfc173560b8a4e66541a85d784c58a3d2e47c6846cf48c61007
L2RAR2_R22_CANON_03_890003__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,0d2f49e349ce0dfc173560b8a4e66541a85d784c58a3d2e47c6846cf48c61007
L2RAR2_R22_CANON_03_890003__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,0d2f49e349ce0dfc173560b8a4e66541a85d784c58a3d2e47c6846cf48c61007
L2RAR2_R22_CANON_03_890003__T7_transport_strong_phase_00ms,PASS,61,0,0,61ad3bf23fddee2bb0719e2438963c1749224b056a23198daa4aff6d819a4ea1
