rollout_id,capture_order,time,phase,action,physics_step_index,capture_kind,action_end,camera_jitter_deg,frame_missing,frame_missing_reason,dropout_requested_offset_s,dropout_actual_offset_s,raw_rgb_sha256,jpeg_sha256,jpeg_path,physical_time_ns
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,14,0.5500000000000003,pre_hold_settle,hold,55,periodic,False,0.0,False,,,,c3c7f93268e03440387dcf3fca019a6593a39e8f548e7faa9c7a1ea6da4a304c,4636409d907b85e331cd47b12f47d7ef2462953cee784b8de78b0d1adb95d429,online_raw/rgb/front/000014.jpg,550000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,15,0.6000000000000003,pre_hold_settle,hold,60,periodic,False,0.0,False,,,,39237c4ef914419e9a4169ddfedc04449711bd88f8b855e84d024c49497ea16d,9df4bb91b4faa592ddac571b928456021dfd0b7ff43d34067d91ee77daa8cd63,online_raw/rgb/front/000015.jpg,600000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,16,0.6500000000000004,pre_hold,hold,65,periodic,False,0.0,False,,,,0d5549fa74bb3cc1853c36de4f927b75ee88b9ba4f28fe56c8de9f78e8211be2,a7cd8035c729a18234286d103bce85c1d3690409cd2cb0f2d32d0c470e89b148,online_raw/rgb/front/000016.jpg,650000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,17,0.7000000000000004,pre_hold,hold,70,periodic,False,0.0,False,,,,cc8847f44804f2e44dc2e8c29792b731c81552b52d53a6c3b351c2754e8d297a,f7347eb5950e44e871b7f2ec92d6fc81daae491be893f5d2d9c6d5ff4dbf6b20,online_raw/rgb/front/000017.jpg,700000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,18,0.7500000000000004,pre_hold,hold,75,periodic,False,0.0,False,,,,d152cea2d4114c122f18e1a1d6ec184cfa6e0bfa3408ae8cd3dad9370e29e4a5,4c99bee9ed1e21d49d190e3d6d7a50954781a00e91143c13041a02c52acc8f17,online_raw/rgb/front/000018.jpg,750000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,19,0.8000000000000005,pre_hold,hold,80,periodic,False,0.0,False,,,,5c2093209b8d2b826f29b0eb10d1d154bd0a4f0f6d7f639af631c73c427534e1,faeaab45ead49e71cb8ff3b2f488bd81814ec4960784500d8877e3663c5a6a21,online_raw/rgb/front/000019.jpg,800000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,20,0.8500000000000005,pre_hold,hold,85,periodic,False,0.0,False,,,,7d9515057d58851076d9c57c83171164291764ec139fd3b0316ed84dcc88f752,cea5a3cf1f6e84ea908cb9b3012025d5ead5b4512c9f787ef3382c25b6b0b27d,online_raw/rgb/front/000020.jpg,850000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,21,0.9000000000000006,pre_hold,hold,90,periodic,False,0.0,False,,,,3cae6f7a130f6be45173bd7fedced1a9890380ea3a7abec3c3561327982d892e,81ff552628d418eddd3c0d7f4f1d672b22f941c1f52c0b946fdb65d3fecafa4c,online_raw/rgb/front/000021.jpg,900000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,22,0.9500000000000006,pre_hold,hold,95,periodic,False,0.0,False,,,,148bce669050fec5a6c55ded8ab33f5e660736203e1495d52ffff1f7c523c78e,2682c5b37a7a2ccebad46accf5ff339187b8b7df15064fd52f72a616d9e46c94,online_raw/rgb/front/000022.jpg,950000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,23,1.0000000000000007,pre_hold,hold,100,periodic,False,0.0,False,,,,33b620c5f5199cfd88517604e26481f2a72f364190ee52641954b2a83538d2b4,e910d9ed3d7f7990948c49338395e83bf0bc7362bad4dd73eb762a7d8314cc94,online_raw/rgb/front/000023.jpg,1000000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,24,1.0500000000000007,pre_hold,hold,105,periodic,False,0.0,False,,,,e38b1c1ec930a1818887b78e4236ecb4b45dd8d1db2770c6277f501953c62989,8df423f89562426d9cf3aa8a8b261d75936635d30ff248d7515c373310a0a2c7,online_raw/rgb/front/000024.jpg,1050000000
