rollout_id,case_id,fault_type,target_capture_order,source_capture_order,source_contact,injected_contact,source_time,next_later_source_time,duplicate_capture_order,same_jpeg_sha256,reference_unchanged
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,c47f040f64be2286d8599614bd2163a09d62028acc888bfda471c6b27fca02a6,True
L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R22_CANON_01_890001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,b248b0af072ffa97aab7344a883f7b89931dc48034813dd73ba3a06a33045f1d,True
L2RAR2_R22_CANON_01_890001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R22_CANON_02_890002__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R22_CANON_02_890002__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R22_CANON_02_890002__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R22_CANON_02_890002__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R22_CANON_02_890002__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,9672a9f92b351b3c8051cef73201c4eb34f98fcd731ef8e2995d6c241436a2f9,True
L2RAR2_R22_CANON_02_890002__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R22_CANON_03_890003__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R22_CANON_03_890003__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R22_CANON_03_890003__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R22_CANON_03_890003__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R22_CANON_03_890003__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,47cade47802641df1ec36ac56349349d2fd75883020d2bb3b0807b3799e40b41,True
L2RAR2_R22_CANON_03_890003__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
