episode_id,n_steps,path,rollout_seed,root_family_id,scenario_for_analysis_only,success,terminal_reason
u4b_u4r1_confirm_000_9110000,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_000_9110000.json,9110000,u4r1_confirm_000,nominal_success,True,stable_success
u4b_u4r1_confirm_000_9110001,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_000_9110001.json,9110001,u4r1_confirm_000,nominal_success,True,stable_success
u4b_u4r1_confirm_000_9110002,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_000_9110002.json,9110002,u4r1_confirm_000,nominal_success,True,stable_success
u4b_u4r1_confirm_000_9110003,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_000_9110003.json,9110003,u4r1_confirm_000,nominal_success,True,stable_success
u4b_u4r1_confirm_001_9110010,48,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_001_9110010.json,9110010,u4r1_confirm_001,grazing_contact,False,horizon
u4b_u4r1_confirm_001_9110011,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_001_9110011.json,9110011,u4r1_confirm_001,grazing_contact,True,stable_success
u4b_u4r1_confirm_001_9110012,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_001_9110012.json,9110012,u4r1_confirm_001,grazing_contact,True,stable_success
u4b_u4r1_confirm_001_9110013,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_001_9110013.json,9110013,u4r1_confirm_001,grazing_contact,True,stable_success
u4b_u4r1_confirm_002_9110020,31,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_002_9110020.json,9110020,u4r1_confirm_002,slip_recovery,True,stable_success
u4b_u4r1_confirm_002_9110021,32,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_002_9110021.json,9110021,u4r1_confirm_002,slip_recovery,True,stable_success
u4b_u4r1_confirm_002_9110022,30,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_002_9110022.json,9110022,u4r1_confirm_002,slip_recovery,True,stable_success
u4b_u4r1_confirm_002_9110023,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_002_9110023.json,9110023,u4r1_confirm_002,slip_recovery,True,stable_success
u4b_u4r1_confirm_003_9110030,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_003_9110030.json,9110030,u4r1_confirm_003,obstacle_detour,True,stable_success
u4b_u4r1_confirm_003_9110031,31,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_003_9110031.json,9110031,u4r1_confirm_003,obstacle_detour,True,stable_success
u4b_u4r1_confirm_003_9110032,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_003_9110032.json,9110032,u4r1_confirm_003,obstacle_detour,True,stable_success
u4b_u4r1_confirm_003_9110033,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_003_9110033.json,9110033,u4r1_confirm_003,obstacle_detour,True,stable_success
u4b_u4r1_confirm_004_9110040,6,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_004_9110040.json,9110040,u4r1_confirm_004,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_004_9110041,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_004_9110041.json,9110041,u4r1_confirm_004,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_004_9110042,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_004_9110042.json,9110042,u4r1_confirm_004,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_004_9110043,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_004_9110043.json,9110043,u4r1_confirm_004,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_005_9110050,34,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_005_9110050.json,9110050,u4r1_confirm_005,stagnation,True,stable_success
u4b_u4r1_confirm_005_9110051,36,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_005_9110051.json,9110051,u4r1_confirm_005,stagnation,True,stable_success
u4b_u4r1_confirm_005_9110052,33,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_005_9110052.json,9110052,u4r1_confirm_005,stagnation,True,stable_success
u4b_u4r1_confirm_005_9110053,34,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_005_9110053.json,9110053,u4r1_confirm_005,stagnation,True,stable_success
u4b_u4r1_confirm_006_9110060,23,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_006_9110060.json,9110060,u4r1_confirm_006,nominal_success,True,stable_success
u4b_u4r1_confirm_006_9110061,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_006_9110061.json,9110061,u4r1_confirm_006,nominal_success,True,stable_success
u4b_u4r1_confirm_006_9110062,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_006_9110062.json,9110062,u4r1_confirm_006,nominal_success,True,stable_success
u4b_u4r1_confirm_006_9110063,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_006_9110063.json,9110063,u4r1_confirm_006,nominal_success,True,stable_success
u4b_u4r1_confirm_007_9110070,48,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_007_9110070.json,9110070,u4r1_confirm_007,grazing_contact,False,horizon
u4b_u4r1_confirm_007_9110071,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_007_9110071.json,9110071,u4r1_confirm_007,grazing_contact,True,stable_success
u4b_u4r1_confirm_007_9110072,23,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_007_9110072.json,9110072,u4r1_confirm_007,grazing_contact,True,stable_success
u4b_u4r1_confirm_007_9110073,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_007_9110073.json,9110073,u4r1_confirm_007,grazing_contact,True,stable_success
