method,rollouts,final_task_success,signal_not_observed,candidate_errors,false_executed_actions,actual_recovery_success,recovery_cycles,recovery_duration_median_s,failure_stages
O_C3_CLP3_CANONICAL_TIME,32,17,8,0,0,12,18,6.399999999999864,"{'SIGNAL_NOT_OBSERVED': 8, 'RELOCATION_ERROR': 4, 'TASK_RECOVERY_ERROR': 3}"
O_C3_RAW,32,16,8,4,4,16,21,6.399999999999864,"{'SIGNAL_NOT_OBSERVED': 8, 'TRIGGERING_ERROR': 4, 'RELOCATION_ERROR': 4, 'TASK_RECOVERY_ERROR': 4}"
RECOVERY_DISABLED,32,8,8,0,0,0,0,,{'SIGNAL_NOT_OBSERVED': 8}
