family_id,case_id,rollout_seed,O_C3_CLP3_CANONICAL_TIME_overall_success,O_C3_RAW_overall_success,RECOVERY_DISABLED_overall_success,O_C3_CLP3_CANONICAL_TIME_final_task_success,O_C3_RAW_final_task_success,RECOVERY_DISABLED_final_task_success
L2RAR2_R23R1_L3_00_894000,L3C1_missed_grasp_retry,89500000,True,True,False,True,True,False
L2RAR2_R23R1_L3_00_894000,L3C2_transport_loss_recover,89500001,True,True,False,True,True,False
L2RAR2_R23R1_L3_00_894000,L3C3_stable_transport,89500002,True,True,True,True,True,True
L2RAR2_R23R1_L3_00_894000,L3C4_single_frame_contact_fault,89500003,True,False,True,True,True,True
L2RAR2_R23R1_L3_00_894000,L3C5_commanded_release,89500004,True,True,True,True,True,True
L2RAR2_R23R1_L3_01_894001,L3C1_missed_grasp_retry,89500100,True,True,False,True,True,False
L2RAR2_R23R1_L3_01_894001,L3C2_transport_loss_recover,89500101,True,True,False,True,True,False
L2RAR2_R23R1_L3_01_894001,L3C3_stable_transport,89500102,True,True,True,True,True,True
L2RAR2_R23R1_L3_01_894001,L3C4_single_frame_contact_fault,89500103,True,False,True,True,True,True
L2RAR2_R23R1_L3_01_894001,L3C5_commanded_release,89500104,True,True,True,True,True,True
L2RAR2_R23R1_L3_02_894002,L3C1_missed_grasp_retry,89500200,True,True,False,True,True,False
L2RAR2_R23R1_L3_02_894002,L3C2_transport_loss_recover,89500201,True,True,False,True,True,False
L2RAR2_R23R1_L3_02_894002,L3C3_stable_transport,89500202,True,True,True,True,True,True
L2RAR2_R23R1_L3_02_894002,L3C4_single_frame_contact_fault,89500203,True,False,True,True,True,True
L2RAR2_R23R1_L3_02_894002,L3C5_commanded_release,89500204,True,True,True,True,True,True
L2RAR2_R23R1_L3_03_894003,L3C1_missed_grasp_retry,89500300,True,True,False,True,True,False
L2RAR2_R23R1_L3_03_894003,L3C2_transport_loss_recover,89500301,True,True,False,True,True,False
L2RAR2_R23R1_L3_03_894003,L3C3_stable_transport,89500302,True,True,True,True,True,True
L2RAR2_R23R1_L3_03_894003,L3C4_single_frame_contact_fault,89500303,True,False,True,True,True,True
L2RAR2_R23R1_L3_03_894003,L3C5_commanded_release,89500304,True,True,True,True,True,True
