method,family_id,case_id,selected_time_abs,observable_latency_from_force_s,physical_latency_from_force_s,time_provenance
O_B2,L2RAR2_FDROP_DEV_00_860000,F1_hold_request_ends_without_hold,0.4000000000000002,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F2_touch_request_completes_without_hold,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F3_stable_hold_no_intervention,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F4_weld_off_no_force_outcome_control,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F5_forced_drop_regular,1.1500000000000008,0.15000000000000013,0.2500000000000002,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F6_forced_drop_brief_hold,0.8000000000000005,0.20000000000000018,0.30000000000000027,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F7_commanded_release,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_00_860000,F8_forced_drop_during_transport_long_observe,1.6900000000000013,0.29000000000000026,0.41000000000000036,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F1_hold_request_ends_without_hold,0.4000000000000002,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F2_touch_request_completes_without_hold,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F3_stable_hold_no_intervention,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F4_weld_off_no_force_outcome_control,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F5_forced_drop_regular,1.1400000000000008,0.14000000000000012,0.2400000000000002,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F6_forced_drop_brief_hold,0.8000000000000005,0.20000000000000018,0.29000000000000026,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F7_commanded_release,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_01_860001,F8_forced_drop_during_transport_long_observe,1.6500000000000012,0.2500000000000002,0.3600000000000003,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_02_860002,F1_hold_request_ends_without_hold,0.4000000000000002,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_02_860002,F2_touch_request_completes_without_hold,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_02_860002,F3_stable_hold_no_intervention,,,,online row.time / reference force_start_time
O_B2,L2RAR2_FDROP_DEV_02_860002,F4_weld_off_no_force_outcome_control,,,,online row.time / reference force_start_time
