method,overall_accuracy,unknown_rate,correct,total
O_B2,1.0,0.0,32,32
O_C3,1.0,0.0,32,32
S_G_H,1.0,0.0,32,32
S_G_R,0.625,0.0,20,32
S_G_HR,0.625,0.0,20,32
