split,event_id,event,count
test,0,none,2115
test,1,contact_on,108
test,2,transport_on,108
test,3,contact_off_failure,27
test,4,recovery_start,27
test,5,contact_reestablished,24
test,6,detour_start,24
test,7,goal_enter,87
test,8,stable_success,87
test,9,terminal_failure,21
test,10,stagnation_onset,18
train,0,none,9896
train,1,contact_on,504
train,2,transport_on,504
train,3,contact_off_failure,126
train,4,recovery_start,126
train,5,contact_reestablished,116
train,6,detour_start,202
train,7,goal_enter,410
train,8,stable_success,410
train,9,terminal_failure,94
train,10,stagnation_onset,60
val,0,none,2150
val,1,contact_on,108
val,2,transport_on,108
val,3,contact_off_failure,25
val,4,recovery_start,25
val,5,contact_reestablished,23
val,6,detour_start,59
val,7,goal_enter,88
val,8,stable_success,88
val,9,terminal_failure,20
val,10,stagnation_onset,15
