split,scenario_for_analysis_only,episodes
test,grazing_contact,18
test,nominal_success,18
test,obstacle_detour,18
test,slip_recovery,18
test,stagnation,18
test,terminal_collision,18
train,grazing_contact,84
train,nominal_success,84
train,obstacle_detour,84
train,slip_recovery,84
train,stagnation,84
train,terminal_collision,84
val,grazing_contact,18
val,nominal_success,18
val,obstacle_detour,18
val,slip_recovery,18
val,stagnation,18
val,terminal_collision,18
