pair_id,free_goal_distance,collision_goal_distance,goal_distance_abs_difference,free_straight_line_clearance,collision_straight_line_clearance,distance_matched,feasibility_conditions_different
d2_pair_000,0.6640255761759956,0.6640255761759956,0.0,0.03994704635381678,-0.11,True,True
d2_pair_001,0.6866969518742503,0.6866969518742503,0.0,0.06023269518221018,-0.11,True,True
d2_pair_002,0.6840904222830664,0.6840904222830664,0.0,0.05812240901059161,-0.11,True,True
d2_pair_003,0.6599764498715602,0.6599764498715602,0.0,0.03578444814670505,-0.11,True,True
d2_pair_004,0.6579551146635246,0.6579551146635246,0.0,0.0336316780544383,-0.11,True,True
d2_pair_005,0.6644767352502864,0.6644767352502864,0.0,0.04039908896821558,-0.11,True,True
d2_pair_006,0.6586969943817776,0.6586969943817776,0.0,0.0344278319258509,-0.11,True,True
d2_pair_007,0.6766347917431073,0.6766347917431073,0.0,0.05179311932792659,-0.11,True,True
d2_pair_008,0.6784674310626452,0.6784674310626452,0.0,0.05339117324621641,-0.11,True,True
d2_pair_009,0.677423894351156,0.677423894351156,0.0,0.052484731451353336,-0.11,True,True
d2_pair_010,0.6560516554739514,0.6560516554739514,0.0,0.0315559017572629,-0.11,True,True
d2_pair_011,0.6775068538781058,0.6775068538781058,0.0,0.052557130731677684,-0.11,True,True
d2_pair_012,0.663002377781672,0.663002377781672,0.0,0.03891330850785403,-0.10999999999999995,True,True
d2_pair_013,0.6465535634019313,0.6465535634019313,0.0,0.0204053687809468,-0.11,True,True
d2_pair_014,0.6732391934367936,0.6732391934367936,0.0,0.04875427507244272,-0.11,True,True
d2_pair_015,0.6690192403728877,0.6690192403728877,0.0,0.044827687571559485,-0.11,True,True
d2_pair_016,0.6675459142516615,0.6675459142516615,0.0,0.04341516597626456,-0.11,True,True
d2_pair_017,0.6605398129778647,0.6605398129778647,0.0,0.036375322928061046,-0.11,True,True
d2_pair_018,0.6550634688615894,0.6550634688615894,0.0,0.030458909323191133,-0.11,True,True
d2_pair_019,0.6895163145006135,0.6895163145006135,0.0,0.062459854439438064,-0.11,True,True
d2_pair_020,0.654321487300583,0.654321487300583,0.0,0.029626264468127148,-0.11,True,True
d2_pair_021,0.6844751918323319,0.6844751918323319,0.0,0.058437111793147076,-0.11,True,True
d2_pair_022,0.6654933412483035,0.6654933412483035,0.0,0.041409399054062726,-0.11,True,True
d2_pair_023,0.6588905261665846,0.6588905261665846,0.0,0.03463436099197918,-0.11,True,True
d2_pair_024,0.6524335612813315,0.6524335612813315,0.0,0.027471850152293434,-0.11,True,True
d2_pair_025,0.6850961919232723,0.6850961919232723,0.0,0.0589426771801624,-0.11,True,True
d2_pair_026,0.6784527939974125,0.6784527939974125,0.0,0.053378522741312176,-0.11,True,True
d2_pair_027,0.649492620888241,0.649492620888241,0.0,0.024008052939416144,-0.11,True,True
d2_pair_028,0.6887053613045153,0.6887053613045153,0.0,0.06182499215608388,-0.10999999999999995,True,True
d2_pair_029,0.675148410305733,0.675148410305733,0.0,0.05047561946187075,-0.11,True,True
