pair_id,condition,rollouts,success_rate,failure_rate,mean_steps,mean_collision_steps
d2_pair_000,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_000,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_001,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_001,free_approach,12,1.0,0.0,5.166666666666667,0.0
d2_pair_002,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_002,free_approach,12,1.0,0.0,4.416666666666667,0.0
d2_pair_003,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_003,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_004,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_004,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_005,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_005,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_006,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_006,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_007,collision_approach,12,0.0,1.0,2.75,1.0
d2_pair_007,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_008,collision_approach,12,0.0,1.0,2.75,1.0
d2_pair_008,free_approach,12,1.0,0.0,4.416666666666667,0.0
d2_pair_009,collision_approach,12,0.0,1.0,2.9166666666666665,1.0
d2_pair_009,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_010,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_010,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_011,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_011,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_012,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_012,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_013,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_013,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_014,collision_approach,12,0.0,1.0,2.5833333333333335,1.0
d2_pair_014,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_015,collision_approach,12,0.0,1.0,2.3333333333333335,1.0
d2_pair_015,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_016,collision_approach,12,0.0,1.0,2.1666666666666665,1.0
d2_pair_016,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_017,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_017,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_018,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_018,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_019,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_019,free_approach,12,1.0,0.0,5.166666666666667,0.0
d2_pair_020,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_020,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_021,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_021,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_022,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_022,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_023,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_023,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_024,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_024,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_025,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_025,free_approach,12,1.0,0.0,5.25,0.0
d2_pair_026,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_026,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_027,collision_approach,12,0.0,1.0,2.0,1.0
d2_pair_027,free_approach,12,1.0,0.0,4.0,0.0
d2_pair_028,collision_approach,12,0.0,1.0,3.0,1.0
d2_pair_028,free_approach,12,1.0,0.0,6.0,0.0
d2_pair_029,collision_approach,12,0.0,1.0,2.9166666666666665,1.0
d2_pair_029,free_approach,12,1.0,0.0,4.0,0.0
