model,split,brier,accuracy_at_0_5,mean_prediction,n_rollouts,n_root_families
geometry_distance_only,heldout_root_families,0.38420143885106517,0.5,0.1336987586241928,144,6
constant,heldout_root_families,0.25,0.5,0.5,144,6
q_only,heldout_root_families,4.1612618070698016e-05,1.0,0.49998957404746314,144,6
D_only,heldout_root_families,0.006103057109938911,1.0,0.45603059412113667,144,6
q_plus_D,heldout_root_families,4.1612618070698016e-05,1.0,0.49998957404746314,144,6
