job_id	variant_id	seed	history_steps	granularity	output_dir	test_used_for_selection
history_1_default__s20260906	history_1_default	20260906	1	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260906	False
history_1_default__s20260907	history_1_default	20260907	1	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260907	False
history_1_default__s20260908	history_1_default	20260908	1	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260908	False
history_8_default__s20260906	history_8_default	20260906	8	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260906	False
history_8_default__s20260907	history_8_default	20260907	8	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260907	False
history_8_default__s20260908	history_8_default	20260908	8	default	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260908	False
history_32_coarse__s20260906	history_32_coarse	20260906	32	coarse	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260906	False
history_32_coarse__s20260907	history_32_coarse	20260907	32	coarse	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260907	False
history_32_coarse__s20260908	history_32_coarse	20260908	32	coarse	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260908	False
history_32_fine__s20260906	history_32_fine	20260906	32	fine_progress_split	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260906	False
history_32_fine__s20260907	history_32_fine	20260907	32	fine_progress_split	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260907	False
history_32_fine__s20260908	history_32_fine	20260908	32	fine_progress_split	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260908	False
