rollout_id,status,rows,errors,output_sha256
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,PASS,44,0,650a305653222f4507d732a2e862f88b812d89dec4adb4024a07e55ad3a14fab
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,PASS,62,0,e647f4f8530220cb8dd58722791bad161a416abe27a6fe499dee7e51f0d146a2
L2RAR2_RGB_CONF_00_882000__C12_commanded_release,PASS,58,0,460e2cf03e951358a9738a174375823da3967733b7b59a73033f8a95e66df15f
L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold,PASS,24,0,28c0af269ffb5d2f75299ac38e1ffe420e5eae8a972a4b2ed3b728547b745b4a
L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold,PASS,21,0,a80526aeb65e29c597a3d5a761293d1b63b6569563a926dcc22f4fa552ba2a79
L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean,PASS,47,0,a83967128d513bc6e32c10dd374adf2442b688f53374e9556451aa7ff29766bf
L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter,PASS,47,0,ace7535174db557821f60b0fee617593ff8d612165c48b91c8d823b5eb6a9298
L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control,PASS,47,0,d9fe282e1a276fd75eb4fbf0a9cbe762ef549d6b43a2788512e6fbc5413696b3
L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome,PASS,52,0,3c6c281e65e82b75a27760a39f0c6c791affd4f51ab47d5401c6d9add0f5a2c9
L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome,PASS,52,0,712c08c1660cbd3fad6b466d03de3c108528c94abdcb7c9dea839d6b4fc4a7bf
L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean,PASS,52,0,ed59b5cf9947e9a60925f87748af2336d58796fe62c7c449069dd04a3bc4f7bb
L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout,PASS,52,0,c68e011ad68c1be324612b82aacc56d63262606c4e5372d8cd4d4c500461851c
