rollout_id,capture_order,time,phase,action,physics_step_index,action_end,camera_jitter_deg,frame_missing,frame_missing_reason,raw_rgb_sha256,jpeg_sha256,jpeg_path
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,16,0.6500000000000004,pre_hold,hold,65,False,0.0,False,,fa132d5f44f289885695a7e492bfba41907ecc6f72530c875b2da4a3007dcd70,8813b4ab8f1330c740d328add2e2899c2f2f6acc157ec53df61c0aab810e5962,online_raw/rgb/front/000016.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,17,0.7000000000000004,pre_hold,hold,70,False,0.0,False,,7febadd8d749d22bb501ad07d09f29bb4f4d589f7d50169f768b7b7cd286ee85,2d55ac4952bef416a9e098ccdec0539b3f18768c1b26b5c2b8556f56e50b6d01,online_raw/rgb/front/000017.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,18,0.7500000000000004,force_pulse,intervention,75,False,0.0,False,,b0e13911c629fca4429b8788bd409df02d975017586dc13a6a7bbc0bb65d9a41,7c46a7ecc12230f998788e9a466aff1e7fbc5fc9603e43c8f46dfba73d7a1f82,online_raw/rgb/front/000018.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,19,0.8000000000000005,force_pulse,intervention,80,False,0.0,False,,ce20a1e4eccb4c5ed924a944cab603f7a15a4570e2914a2a9ba82ab29934437b,5470ad385f14bc55d682d514137866ff1f3ecfc80f849995959bd873194ea699,online_raw/rgb/front/000019.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,20,0.8500000000000005,force_pulse,intervention,85,False,0.0,False,,d5ee70dbea52e82e4862c21d84f3835aa3b43f24be58cd78dd74ee1741a16443,fc1d90075ab22fc879714094c042bf34eb309a3d19e59caf92f4e325c5c03ca0,online_raw/rgb/front/000020.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,21,0.9000000000000006,force_pulse,intervention,90,False,0.0,False,,daa8140b23dc62b0fbbc2d85dd09d09be274da910be087f326167a66a0f38865,f49711c89902f7179ffead0f7d52f782193f7f09930da94d62ba1025d1451090,online_raw/rgb/front/000021.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,22,0.9000000000000006,force_pulse_ended,intervention,90,True,0.0,False,,daa8140b23dc62b0fbbc2d85dd09d09be274da910be087f326167a66a0f38865,f49711c89902f7179ffead0f7d52f782193f7f09930da94d62ba1025d1451090,online_raw/rgb/front/000022.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,23,0.9500000000000006,observation,observe,95,False,0.0,False,,18914bc30bf18d9a0583fef5fc1a06d3b3db6aeac77ed9ca998a0de9474b675e,b9d3579b0b2e9da6564ff746872d0556b303184628bfbdcf22ae5fcab14287da,online_raw/rgb/front/000023.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,24,1.0000000000000007,observation,observe,100,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000024.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,25,1.0500000000000007,observation,observe,105,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000025.jpg
