update,fragment_updates,complete,valid_transitions,rollout_n,optimizer_steps,success_episodes,zero_reward_episodes,policy_loss,value_loss,q_loss,total_loss,grad_norm,NaN_n,original_episode_n,absent_episode_n,interaction_seconds,H,actor_episode_discount_weight,dp_rms_all,dk_rms_all,dh_rms_all,residual_rms_all,max_abs_residual,dp_nonzero_rate_all,residual_nonzero_rate_all,dp_nonzero_rate_conditioned,residual_nonzero_rate_conditioned,qualifying_n,mean_duration,median_duration,candidate_count_mean,dp_opportunity_n,dp_nonzero_n,delta_nonzero_n,dp_rate,delta_rate
1,0,True,1024,1024,64,10,43,-0.0019608630689009476,0.011827585741231772,0.005027960223031869,0.0012277867435273038,0.14096275909105316,0,0,54,2697.600000000999,23.09999999999752,False,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0,2.6343750000009756,2.9000000000007446,1.60546875,0,0,0,N/A,N/A
2,0,True,2048,1024,128,10,43,-0.0002306024543941021,9.713777659077494e-06,0.0003108705650425314,-0.0001946585085210728,0.010650327582879981,0,0,54,2748.8000000011853,23.09999999999752,False,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0,0.049999999999999246,0.05,1.0,0,0,0,N/A,N/A
